,CLBK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",26.28,10.14,Valuation,2.591715976331361
Price/Sales (TTM),8.29,3.47,Valuation,2.3890489913544664
Price/Book (MRQ),2.34,9.31,Valuation,0.2513426423200859
"PEG Ratio (TTM, GAAP)",,4.08,Valuation,
Gross Profit Margin (TTM),,0.1227,Profitability,
Operating Profit Margin (TTM),0.4094,0.4806,Profitability,0.8518518518518517
Net Profit Margin (TTM),0.303,0.36590000000000006,Profitability,0.8280951079529925
Annual Dividend Yield,,0.028300000000000002,Dividend,
Dividend Change %,,0.0643,Dividend,
"Dividend Growth Rate, 3 Years",,0.11699999999999999,Dividend,
EPS Growth (MRQ),-0.09550000000000002,-0.049,Gowth rates,1.948979591836735
EPS Growth (TTM),-0.0183,0.024900000000000002,Gowth rates,-0.7349397590361445
Revenue Growth (MRQ),0.09369999999999999,-0.0564,Gowth rates,-1.6613475177304964
Revenue Growth (TTM),0.0593,-0.10250000000000001,Gowth rates,-0.5785365853658536
Return On Equity (TTM),0.085,0.1595,Effectiveness,0.5329153605015674
Return On Assets (TTM),0.0091,0.0533,Effectiveness,0.17073170731707318
Return On Investment (TTM),,0.07740000000000001,Effectiveness,
Revenue Per Employee (TTM),,656704.0,Effectiveness,
Total Debt/Total Capital (MRQ),,0.2934,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0017000000000000001,-0.0009,Financial strength,1.888888888888889
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,6.57,Financial strength,
