,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,42.65,45.4,45.01,50.15,,,,,
low,29.03,24.67,30.55,29.25,,,,,
change,0.3468,-0.12050000000000001,-0.07830000000000001,0.44920000000000004,,,,,
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,343.0,286.0,126.0,148.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,602.0,650.0,737.0,715.0,Balance Sheet
Prov. for Doubtful Accts,,,,,-4.0,-4.0,-4.0,-4.0,Balance Sheet
"Total Receivables, Net",,,,,1178.0,1246.0,1337.0,1353.0,Balance Sheet
Prepaid Expenses,,,,,111.0,108.0,120.0,110.0,Balance Sheet
"Other Curr. Assets, Total",,,,,1.0,1.0,1.0,0.0,Balance Sheet
Total Current Assets,,,,,1632.0,1641.0,1584.0,1611.0,Balance Sheet
Buildings,,,,,100.0,101.0,103.0,103.0,Balance Sheet
Machinery/Equipment,,,,,164.0,166.0,169.0,167.0,Balance Sheet
Construction in Progress,,,,,13.0,11.0,13.0,15.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,274.0,263.0,259.0,253.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,551.0,541.0,544.0,537.0,Balance Sheet
Accumulated Depreciation,,,,,-260.0,-267.0,-274.0,-277.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,291.0,274.0,270.0,260.0,Balance Sheet
"Goodwill, Net",,,,,1413.0,1413.0,1672.0,1661.0,Balance Sheet
Intangibles - Gross,,,,,602.0,603.0,719.0,727.0,Balance Sheet
Accum. Intangible Amort.,,,,,-395.0,-415.0,-434.0,-453.0,Balance Sheet
Intangibles - Net,,,,,208.0,189.0,285.0,273.0,Balance Sheet
Long Term Investments,,,,,111.0,114.0,115.0,99.0,Balance Sheet
Other Long Term Assets,,,,,42.0,41.0,49.0,50.0,Balance Sheet
Total Assets,,,,,3831.0,3809.0,4110.0,4095.0,Balance Sheet
Accounts Payable,,,,,196.0,157.0,195.0,201.0,Balance Sheet
Accrued Expenses,,,,,653.0,665.0,705.0,740.0,Balance Sheet
Notes Payable/ST Debt,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,2.0,2.0,2.0,2.0,Balance Sheet
Customer Advances,,,,,172.0,173.0,186.0,198.0,Balance Sheet
Income Taxes Payable,,,,,8.0,13.0,11.0,9.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,180.0,185.0,197.0,207.0,Balance Sheet
Total Current Liabilities,,,,,1031.0,1009.0,1099.0,1149.0,Balance Sheet
Long Term Debt,,,,,592.0,592.0,793.0,695.0,Balance Sheet
Capital Lease Obligations,,,,,2.0,2.0,2.0,2.0,Balance Sheet
Total Long Term Debt,,,,,594.0,595.0,795.0,697.0,Balance Sheet
Total Debt,,,,,596.0,596.0,797.0,699.0,Balance Sheet
Deferred Income Tax,,,,,11.0,12.0,10.0,10.0,Balance Sheet
Minority Interest,,,,,36.0,32.0,36.0,52.0,Balance Sheet
Pension Benefits - Underfunded,,,,,16.0,15.0,16.0,16.0,Balance Sheet
Other LT Liabilities,,,,,241.0,228.0,226.0,218.0,Balance Sheet
"Other Liabilities, Total",,,,,257.0,243.0,242.0,233.0,Balance Sheet
Total Liabilities,,,,,1930.0,1891.0,2182.0,2142.0,Balance Sheet
Common Stock,,,,,146.0,146.0,146.0,146.0,Balance Sheet
Additional Paid-In Capital,,,,,2685.0,2679.0,2676.0,2679.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,-54.0,-33.0,-15.0,15.0,Balance Sheet
Treasury Stock - Common,,,,,-867.0,-867.0,-867.0,-867.0,Balance Sheet
"Other Equity, Total",,,,,-10.0,-7.0,-12.0,-19.0,Balance Sheet
Total Equity,,,,,1901.0,1918.0,1928.0,1953.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,3831.0,3809.0,4110.0,4095.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,104.0,104.0,104.0,103.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,43.0,43.0,43.0,43.0,Balance Sheet
Date,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,951.0,949.0,1009.0,1134.0,Income Statement
"Cost of Revenue, Total",,,,,724.0,734.0,782.0,872.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,190.0,185.0,200.0,197.0,Income Statement
"Inter/Invest Inc, Operating",,,,,-10.0,-6.0,-6.0,1.0,Income Statement
Total Operating Expense,,,,,904.0,913.0,976.0,1070.0,Income Statement
Total Operating Income,,,,,47.0,36.0,33.0,64.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,-4.0,-4.0,-5.0,-6.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,0.0,0.0,0.0,0.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,-1.0,0.0,0.0,-1.0,Income Statement
"Other, Net",,,,,-1.0,0.0,0.0,-1.0,Income Statement
Income Before Tax,,,,,41.0,32.0,29.0,57.0,Income Statement
Income Tax - Total,,,,,5.0,8.0,6.0,14.0,Income Statement
Income After Tax,,,,,36.0,24.0,23.0,44.0,Income Statement
Minority Interest,,,,,-7.0,-3.0,-4.0,-14.0,Income Statement
Net Inc Before Extra Items,,,,,29.0,21.0,18.0,30.0,Income Statement
Total Net Income,,,,,29.0,21.0,18.0,30.0,Income Statement
Income Available to Common Excl. Extra. Items,,,,,29.0,21.0,18.0,30.0,Income Statement
Income Available to Common Incl. Extra. Items,,,,,29.0,21.0,18.0,30.0,Income Statement
Basic/Primary Weighted Average Shares,,,,,103.0,104.0,104.0,104.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,,,0.28,0.2,0.18,0.29,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,,,0.28,0.2,0.18,0.29,Income Statement
Diluted Weighted Average Shares,,,,,112.0,113.0,113.0,113.0,Income Statement
Diluted EPS Excl. Extra. Items,,,,,0.26,0.18,0.16,0.26,Income Statement
Diluted EPS Incl. Extra. Items,,,,,0.26,0.18,0.16,0.26,Income Statement
Div/Share-ComStockPrimIssue,,,,,0.0,0.0,0.0,0.0,Income Statement
Gross Divid - Common Stock,,,,,0.0,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,,,Income Statement
"Interest Expense, Suppl",,,,,4.0,4.0,5.0,6.0,Income Statement
"Depreciat/Amort, Suppl",,,,,11.0,10.0,11.0,10.0,Income Statement
