,PSN
% Below High,0.024700000000000003
% Held by Institutions,0.9778
52-Wk Range,['29.25 - 50.15']
Annual Dividend $,
Annual Dividend %,
Ask,48.91
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.9
Bid,48.82
Bid Size,200.0
Day Change $,-0.04
Day Change %,-0.0008
Day High,48.99
Day Low,48.55
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.86
Ex-dividend Date,No dividend
Historical Volatility,0.31
Last (size),99.0
Last (time),11:36a ET 11/28/22
Market Cap,5.1B
"P/E Ratio (TTM, GAAP)",56.79
Prev Close,48.95
Price,48.91
Short Interest,0.034300000000000004
Today's Open,48.63
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.07547169811320753
Growth 1yr High Est,0.1352941176470588
Growth 1yr Consensus Est,0.10538290788013316
Growth 2yr Low Est,0.12545514730221774
Growth 2yr High Est,0.2282688204815605
Growth 2yr Consensus Est,0.17686198389188912
Growth 5yr Low Est,0.1644974851555337
Growth 5yr High Est,0.14559136388316435
Growth 5yr Consensus Est,0.15504442451934902
Growth 5yr Actual/Est,0.18824924863880413
Growth 3yr Historic,0.11179619349722439
Price/Earnings (TTM),56.78654
Price/Sales (TTM),1.2532
Price/Book (MRQ),2.5933
Price/Cash Flow (TTM),19.89214
5yr Low,24.67
5yr High,50.15
5yr Avg Return,0.1493
EPS Growth 5yr,
Revenue Growth 5yr,0.0379177
Dividend Growth 5yr,
Short Int Current Month,3527703.0
Short Int Prev Month,3267280.0
Short Int Pct of Float,0.0343483
Days to Cover,5.95711
Float,102.7478
Shares Outstanding,103.5029
Institutions Holding Shares,247.0
FCF Growth 5yr,2.4641217797283073
"Price/Earnings (TTM, GAAP)",56.79
"PEG Ratio (TTM, GAAP)",4.62
Gross Profit Margin (TTM),0.2302
Operating Profit Margin (TTM),0.0443
Net Profit Margin (TTM),0.0313
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.6136
EPS Growth (TTM),0.6402
Revenue Growth (MRQ),0.12460000000000002
Revenue Growth (TTM),0.1003
Return On Equity (TTM),0.0516
Return On Assets (TTM),0.0319
Return On Investment (TTM),0.0449
Revenue Per Employee (TTM),260828.0
Total Debt/Total Capital (MRQ),0.2584
Change in Debt/Total Capital Quarter over Quarter,0.001
Quick Ratio (MRQ),
Interest Coverage (MRQ),9.78
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-12 00:00:00
theStreet since,2022-07-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-08-12 00:00:00
cfra since,
marketEdge opinion since,
