,PSN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",56.79,50.64,Valuation,1.1214454976303316
Price/Sales (TTM),1.25,4.74,Valuation,0.26371308016877637
Price/Book (MRQ),2.59,4.28,Valuation,0.6051401869158878
"PEG Ratio (TTM, GAAP)",4.62,1.95,Valuation,2.3692307692307693
Gross Profit Margin (TTM),0.2302,0.19460000000000002,Profitability,1.1829393627954776
Operating Profit Margin (TTM),0.0443,-0.5263,Profitability,-0.08417252517575527
Net Profit Margin (TTM),0.0313,-0.5391,Profitability,-0.058059729178260064
Annual Dividend Yield,,0.0139,Dividend,
Dividend Change %,,0.0564,Dividend,
"Dividend Growth Rate, 3 Years",,0.0055000000000000005,Dividend,
EPS Growth (MRQ),0.6136,-3.8235,Gowth rates,-0.1604812344710344
EPS Growth (TTM),0.6402,0.2595,Gowth rates,2.4670520231213873
Revenue Growth (MRQ),0.12460000000000002,0.0689,Gowth rates,1.8084179970972425
Revenue Growth (TTM),0.1003,0.0147,Gowth rates,6.8231292517006805
Return On Equity (TTM),0.0516,0.1825,Effectiveness,0.2827397260273973
Return On Assets (TTM),0.0319,0.047,Effectiveness,0.6787234042553191
Return On Investment (TTM),0.0449,0.0521,Effectiveness,0.8618042226487524
Revenue Per Employee (TTM),260828.0,411752.0,Effectiveness,0.6334589753055238
Total Debt/Total Capital (MRQ),0.2584,0.5861,Financial strength,0.440880395836888
Change in Debt/Total Capital Quarter over Quarter,0.001,-0.0001,Financial strength,-10.0
Quick Ratio (MRQ),,1.06,Financial strength,
Interest Coverage (MRQ),9.78,7.88,Financial strength,1.2411167512690355
