,INSM
% Above Low,0.1219
% Held by Institutions,0.9587
52-Wk Range,['16.41 - 30.49']
Annual Dividend $,
Annual Dividend %,
Ask,28.7
Ask Size,100.0
B/A Ratio,6.0
B/A Size,600x100
Beta,1.6
Bid,17.8
Bid Size,600.0
Closing Price,18.41
Day Change $,0.04
Day Change %,0.0022
Day High,18.68
Day Low,18.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.63
Ex-dividend Date,No dividend
Historical Volatility,0.6020000000000001
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,2.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,18.37
Short Interest,0.0557
Today's Open,18.22
Volume,378152.0
Volume 10-day Avg,1239064.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.08515815085158163
Growth 1yr High Est,-0.05494505494505497
Growth 1yr Consensus Est,-0.0700516028983183
Growth 2yr Low Est,0.1595485841486774
Growth 2yr High Est,-0.05654229491438789
Growth 2yr Consensus Est,0.05150314461714475
Growth 5yr Low Est,0.16016014416437088
Growth 5yr High Est,0.061281091348776184
Growth 5yr Consensus Est,0.11072061775657353
Growth 5yr Actual/Est,0.07235218657920794
Growth 3yr Historic,0.07225913621262459
Price/Earnings (TTM),
Price/Sales (TTM),10.29857
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,11.31
5yr High,45.44
5yr Avg Return,0.026016666666666653
Short Int Current Month,7433832.0
Short Int Prev Month,7758334.0
Short Int Pct of Float,0.055678099999999994
Days to Cover,4.80609
Float,133.5282
Shares Outstanding,135.4768
Institutions Holding Shares,317.0
FCF Growth 5yr,0.23167530076364495
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7715000000000001
Operating Profit Margin (TTM),-1.672
Net Profit Margin (TTM),-1.7936
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.3577
EPS Growth (TTM),0.0734
Revenue Growth (MRQ),0.0385
Revenue Growth (TTM),0.39380000000000004
Return On Equity (TTM),-1.8295
Return On Assets (TTM),-0.37670000000000003
Return On Investment (TTM),-0.4225
Revenue Per Employee (TTM),395077.0
Total Debt/Total Capital (MRQ),1.0385
Change in Debt/Total Capital Quarter over Quarter,0.0086
Quick Ratio (MRQ),4.11
Interest Coverage (MRQ),-78.4
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2019-03-31 00:00:00
researchTeam since,2021-09-24 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
