,INSM,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),10.3,45.03,Valuation,0.2287363979569176
Price/Book (MRQ),,12.61,Valuation,
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.7715000000000001,0.5874,Profitability,1.3134150493701056
Operating Profit Margin (TTM),-1.672,-4.7459,Profitability,0.35230409406013613
Net Profit Margin (TTM),-1.7936,-4.5467,Profitability,0.3944839114082741
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.3577,-0.0014000000000000002,Gowth rates,255.49999999999997
EPS Growth (TTM),0.0734,0.027200000000000002,Gowth rates,2.698529411764706
Revenue Growth (MRQ),0.0385,1.3963999999999999,Gowth rates,0.027570896591234604
Revenue Growth (TTM),0.39380000000000004,0.9747,Gowth rates,0.4040217502821381
Return On Equity (TTM),-1.8295,0.1967,Effectiveness,-9.300965937976613
Return On Assets (TTM),-0.37670000000000003,0.0016,Effectiveness,-235.4375
Return On Investment (TTM),-0.4225,0.0219,Effectiveness,-19.292237442922374
Revenue Per Employee (TTM),395077.0,1476201.0,Effectiveness,0.2676308985023042
Total Debt/Total Capital (MRQ),1.0385,0.4675,Financial strength,2.2213903743315506
Change in Debt/Total Capital Quarter over Quarter,0.0086,0.0036,Financial strength,2.388888888888889
Quick Ratio (MRQ),4.11,2.06,Financial strength,1.9951456310679612
Interest Coverage (MRQ),-78.4,2.69,Financial strength,-29.144981412639407
