,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,12.1,31.06,10.9,,,,,
low,9.7,8.26,4.26,,,,,
change,0.13640000000000002,-0.1973,-0.3866,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,170.0,47.0,53.0,60.0,Balance Sheet
Short Term Investments,,,,491.0,551.0,470.0,349.0,Balance Sheet
Cash and Short Term Invs,,,,661.0,599.0,523.0,409.0,Balance Sheet
"Total Receivables, Net",,,,82.0,78.0,83.0,102.0,Balance Sheet
Invent. - Finished Goods,,,,18.0,22.0,25.0,,Balance Sheet
Invent. - Work In Progress,,,,25.0,32.0,31.0,,Balance Sheet
Invent. - Raw Materials,,,,65.0,69.0,86.0,,Balance Sheet
Inventories - Other,,,,6.0,6.0,7.0,,Balance Sheet
Total Inventory,,,,115.0,128.0,149.0,165.0,Balance Sheet
Prepaid Expenses,,,,15.0,15.0,17.0,29.0,Balance Sheet
Restricted Cash - Current,,,,12.0,12.0,12.0,12.0,Balance Sheet
Other Current Assets,,,,2.0,3.0,4.0,4.0,Balance Sheet
"Other Curr. Assets, Total",,,,14.0,15.0,16.0,16.0,Balance Sheet
Total Current Assets,,,,886.0,835.0,788.0,720.0,Balance Sheet
Buildings,,,,11.0,11.0,11.0,,Balance Sheet
Machinery/Equipment,,,,50.0,50.0,49.0,,Balance Sheet
Construction in Progress,,,,20.0,30.0,46.0,,Balance Sheet
Other Prop./Plant/Equip.,,,,65.0,64.0,64.0,,Balance Sheet
Prop./Plant/Equip. - Gross,,,,145.0,155.0,169.0,,Balance Sheet
Accumulated Depreciation,,,,-59.0,-62.0,-61.0,,Balance Sheet
Prop./Plant/Equip. - Net,,,,87.0,93.0,108.0,118.0,Balance Sheet
Other Long Term Assets,,,,8.0,8.0,20.0,46.0,Balance Sheet
Total Assets,,,,982.0,937.0,917.0,885.0,Balance Sheet
Accounts Payable,,,,53.0,56.0,56.0,70.0,Balance Sheet
Accrued Expenses,,,,25.0,20.0,27.0,32.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,0.0,,,,Balance Sheet
"Other Curr. Lblts, Total",,,,14.0,13.0,14.0,12.0,Balance Sheet
Total Current Liabilities,,,,92.0,89.0,96.0,114.0,Balance Sheet
Long Term Debt,,,,111.0,116.0,111.0,117.0,Balance Sheet
Capital Lease Obligations,,,,0.0,0.0,0.0,,Balance Sheet
Total Long Term Debt,,,,111.0,116.0,112.0,117.0,Balance Sheet
Total Debt,,,,111.0,116.0,112.0,117.0,Balance Sheet
"Other Liabilities, Total",,,,59.0,57.0,62.0,65.0,Balance Sheet
Total Liabilities,,,,262.0,262.0,270.0,296.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,1579.0,1585.0,1599.0,1606.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-858.0,-908.0,-950.0,-1015.0,Balance Sheet
"Other Equity, Total",,,,-1.0,-2.0,-3.0,-2.0,Balance Sheet
Total Equity,,,,720.0,675.0,646.0,588.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,982.0,937.0,917.0,885.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,222.0,223.0,225.0,226.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
