,PTRA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,24.01,Valuation,
Price/Sales (TTM),4.41,3.06,Valuation,1.4411764705882353
Price/Book (MRQ),2.23,7.44,Valuation,0.2997311827956989
"PEG Ratio (TTM, GAAP)",,1.49,Valuation,
Gross Profit Margin (TTM),-0.0219,0.32799999999999996,Profitability,-0.06676829268292683
Operating Profit Margin (TTM),-0.5972999999999999,0.0198,Profitability,-30.16666666666666
Net Profit Margin (TTM),-0.6787000000000001,-0.0086,Profitability,78.9186046511628
Annual Dividend Yield,,0.0143,Dividend,
Dividend Change %,,0.1666,Dividend,
"Dividend Growth Rate, 3 Years",,0.0885,Dividend,
EPS Growth (MRQ),-0.5451,0.3518,Gowth rates,-1.5494599204093236
EPS Growth (TTM),0.8359000000000001,0.16149999999999998,Gowth rates,5.1758513931888555
Revenue Growth (MRQ),0.29050000000000004,0.196,Gowth rates,1.4821428571428572
Revenue Growth (TTM),0.7070000000000001,0.1475,Gowth rates,4.793220338983051
Return On Equity (TTM),-0.3122,0.2859,Effectiveness,-1.0919902063658622
Return On Assets (TTM),-0.21600000000000003,0.0851,Effectiveness,-2.5381903642773214
Return On Investment (TTM),-0.24239999999999998,0.12490000000000001,Effectiveness,-1.940752602081665
Revenue Per Employee (TTM),342275.0,343373.0,Effectiveness,0.9968023111892897
Total Debt/Total Capital (MRQ),0.16579999999999998,0.6352000000000001,Financial strength,0.2610201511335012
Change in Debt/Total Capital Quarter over Quarter,0.002,0.0189,Financial strength,0.10582010582010583
Quick Ratio (MRQ),4.87,1.07,Financial strength,4.5514018691588785
Interest Coverage (MRQ),-7.88,20.9,Financial strength,-0.37703349282296655
