,CTRN
% Above Low,0.5375
% Held by Institutions,0.9036
52-Wk Range,['15.48 - 97.14']
Annual Dividend $,
Annual Dividend %,
Ask,29.44
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,2.1
Bid,20.3
Bid Size,200.0
Closing Price,23.8
Day Change $,0.67
Day Change %,0.028999999999999998
Day High,23.9
Day Low,22.76
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.46
Ex-dividend Date,No dividend
Historical Volatility,0.828
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,199.2M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",4.36
Prev Close,23.13
Short Interest,0.1107
Today's Open,23.01
Volume,78013.0
Volume 10-day Avg,138228.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-11-29 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.8545994065281899
Growth 1yr High Est,-0.8379562043795621
Growth 1yr Consensus Est,-0.846277805453876
Growth 2yr Low Est,-0.15178949918246232
Growth 2yr High Est,0.12156243835075953
Growth 2yr Consensus Est,-0.015113530415851395
Growth 5yr Low Est,0.555194665743263
Growth 5yr High Est,0.727679679930549
Growth 5yr Consensus Est,0.641437172836906
Growth 5yr Actual/Est,0.7152227584315162
Growth 3yr Historic,0.6594827586206898
Price/Earnings (TTM),4.35632
Price/Sales (TTM),0.23131
Price/Book (MRQ),1.49263
Price/Cash Flow (TTM),2.93543
5yr Low,6.7
5yr High,111.44
5yr Avg Return,0.2064166666666667
EPS Growth 5yr,0.5000517
Revenue Growth 5yr,0.0736137
Dividend Growth 5yr,
Short Int Current Month,883210.0
Short Int Prev Month,935435.0
Short Int Pct of Float,0.1106949
Days to Cover,6.31523
Float,7.98708
Shares Outstanding,8.37941
Institutions Holding Shares,123.0
FCF Growth 5yr,-0.06230964255458793
"Price/Earnings (TTM, GAAP)",4.36
"PEG Ratio (TTM, GAAP)",0.18
Gross Profit Margin (TTM),0.39530000000000004
Operating Profit Margin (TTM),0.0701
Net Profit Margin (TTM),0.054000000000000006
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.0865
EPS Growth (TTM),-0.22710000000000002
Revenue Growth (MRQ),-0.11140000000000001
Revenue Growth (TTM),-0.11449999999999999
Return On Equity (TTM),0.3371
Return On Assets (TTM),0.0932
Return On Investment (TTM),0.146
Revenue Per Employee (TTM),287387.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),0.28
Interest Coverage (MRQ),-43.82
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2022-03-18 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-02-18 00:00:00
