,CTRN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",4.36,19.03,Valuation,0.22911192853389387
Price/Sales (TTM),0.23,1.93,Valuation,0.11917098445595856
Price/Book (MRQ),1.49,92.12,Valuation,0.01617455492835432
"PEG Ratio (TTM, GAAP)",0.18,7.27,Valuation,0.024759284731774415
Gross Profit Margin (TTM),0.39530000000000004,0.34390000000000004,Profitability,1.1494620529223611
Operating Profit Margin (TTM),0.0701,0.11789999999999999,Profitability,0.5945716709075488
Net Profit Margin (TTM),0.054000000000000006,0.0818,Profitability,0.6601466992665037
Annual Dividend Yield,,0.016200000000000003,Dividend,
Dividend Change %,,0.2582,Dividend,
"Dividend Growth Rate, 3 Years",,0.09390000000000001,Dividend,
EPS Growth (MRQ),-1.0865,-0.10800000000000001,Gowth rates,10.060185185185183
EPS Growth (TTM),-0.22710000000000002,0.0262,Gowth rates,-8.66793893129771
Revenue Growth (MRQ),-0.11140000000000001,0.0478,Gowth rates,-2.3305439330543933
Revenue Growth (TTM),-0.11449999999999999,0.0874,Gowth rates,-1.3100686498855834
Return On Equity (TTM),0.3371,5.2054,Effectiveness,0.06475967264763514
Return On Assets (TTM),0.0932,0.1562,Effectiveness,0.5966709346991037
Return On Investment (TTM),0.146,0.26,Effectiveness,0.5615384615384614
Revenue Per Employee (TTM),287387.0,410011.0,Effectiveness,0.7009250971315404
Total Debt/Total Capital (MRQ),0.0,0.8926999999999999,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0016,Financial strength,
Quick Ratio (MRQ),0.28,0.39,Financial strength,0.717948717948718
Interest Coverage (MRQ),-43.82,13.36,Financial strength,-3.279940119760479
