,FCEL
% Above Low,0.2563
% Held by Institutions,0.4228
52-Wk Range,['2.77 - 9.31']
Annual Dividend $,
Annual Dividend %,
Ask,3.48
Ask Size,3000.0
B/A Ratio,0.8666666666666667
B/A Size,2600x3000
Beta,3.6
Bid,3.46
Bid Size,2600.0
Closing Price,3.48
Day Change $,-0.02
Day Change %,-0.005699999999999999
Day High,3.5
Day Low,3.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.34
Ex-dividend Date,No dividend
Historical Volatility,0.861
Last (size),1800.0
Last (time),1:00p ET 11/25/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,3.5
Short Interest,0.1159
Today's Open,3.46
Volume,2619825.0
Volume 10-day Avg,8975403.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-28 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.1470588235294119
Growth 2yr High Est,-0.375
Growth 2yr Consensus Est,-0.26102941176470595
Growth 5yr Low Est,-0.1470588235294119
Growth 5yr High Est,-0.375
Growth 5yr Consensus Est,-0.26102941176470595
Growth 5yr Actual/Est,-0.309072249589491
Growth 3yr Historic,-0.24901477832512314
Price/Earnings (TTM),
Price/Sales (TTM),13.41367
Price/Book (MRQ),1.98926
Price/Cash Flow (TTM),
5yr Low,0.134
5yr High,29.44
5yr Avg Return,0.14504999999999998
EPS Growth 5yr,
Revenue Growth 5yr,-0.0845894
Dividend Growth 5yr,
Short Int Current Month,46905561.0
Short Int Prev Month,51639749.0
Short Int Pct of Float,0.11585150000000001
Days to Cover,4.48967
Float,405.3101
Shares Outstanding,405.563
Institutions Holding Shares,335.0
FCF Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),-0.2162
Operating Profit Margin (TTM),-1.1748
Net Profit Margin (TTM),-1.2296
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0632
EPS Growth (TTM),-0.051500000000000004
Revenue Growth (MRQ),1.6309
Revenue Growth (TTM),0.4483
Return On Equity (TTM),-0.1882
Return On Assets (TTM),-0.1419
Return On Investment (TTM),-0.153
Revenue Per Employee (TTM),275440.0
Total Debt/Total Capital (MRQ),0.0992
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),6.2
Interest Coverage (MRQ),-17.26
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2009-07-19 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,
ford since,
researchTeam since,
marketEdge opinion since,
