,SSTK
% Above Low,0.1435
% Held by Institutions,0.6875
52-Wk Range,['44.61 - 116.70']
Annual Dividend $,0.96
Annual Dividend %,0.0182
Ask,51.04
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.1
Bid,50.98
Bid Size,100.0
Day Change $,-1.7
Day Change %,-0.0323
Day High,52.02
Day Low,50.62
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.34
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.49100000000000005
Last (size),100.0
Last (time),3:22p ET 11/28/22
Market Cap,1.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.54
Prev Close,52.71
Price,51.01
Short Interest,0.09119999999999999
Today's Open,51.17
Volume Past Day,(Above Average)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.2785145888594164
Growth 2yr High Est,0.03947368421052633
Growth 2yr Consensus Est,-0.11952045232444503
Growth 5yr Low Est,-0.2785145888594164
Growth 5yr High Est,0.03947368421052633
Growth 5yr Consensus Est,-0.11952045232444503
Growth 5yr Actual/Est,0.3690414824628466
Growth 3yr Historic,0.3645813939055422
Price/Earnings (TTM),22.53749
Price/Sales (TTM),2.31383
Price/Book (MRQ),4.38357
Price/Cash Flow (TTM),12.4985
5yr Low,28.76
5yr High,128.36
5yr Avg Return,0.11653333333333334
EPS Growth 5yr,0.22022860000000002
Revenue Growth 5yr,0.0936577
Dividend Growth 5yr,
Short Int Current Month,2163493.0
Short Int Prev Month,2299935.0
Short Int Pct of Float,0.09115259999999999
Days to Cover,7.9357
Float,23.73485
Shares Outstanding,35.81505
Institutions Holding Shares,302.0
FCF Growth 5yr,0.7404494276777852
"Price/Earnings (TTM, GAAP)",22.54
"PEG Ratio (TTM, GAAP)",7.04
Gross Profit Margin (TTM),0.6264000000000001
Operating Profit Margin (TTM),0.1233
Net Profit Margin (TTM),0.10529999999999999
Annual Dividend Yield,0.0182
Dividend Change %,0.2353
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1801
EPS Growth (TTM),-0.1365
Revenue Growth (MRQ),-0.0134
Revenue Growth (TTM),0.08990000000000001
Return On Equity (TTM),0.1898
Return On Assets (TTM),0.10220000000000001
Return On Investment (TTM),0.1709
Revenue Per Employee (TTM),710700.0
Total Debt/Total Capital (MRQ),0.10400000000000001
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),
Interest Coverage (MRQ),18.55
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2021-06-28 00:00:00
theStreet since,2022-06-17 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
