,SSTK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",22.54,18.12,Valuation,1.2439293598233994
Price/Sales (TTM),2.31,4.52,Valuation,0.5110619469026549
Price/Book (MRQ),4.38,5.02,Valuation,0.8725099601593626
"PEG Ratio (TTM, GAAP)",7.04,8.0,Valuation,0.88
Gross Profit Margin (TTM),0.6264000000000001,0.6097,Profitability,1.0273905199278335
Operating Profit Margin (TTM),0.1233,0.24480000000000002,Profitability,0.5036764705882353
Net Profit Margin (TTM),0.10529999999999999,0.1981,Profitability,0.5315497223624431
Annual Dividend Yield,0.0182,0.0001,Dividend,182.0
Dividend Change %,0.2353,0.0003,Dividend,784.3333333333335
"Dividend Growth Rate, 3 Years",,,Dividend,
EPS Growth (MRQ),0.1801,-0.2712,Gowth rates,-0.6640855457227139
EPS Growth (TTM),-0.1365,-0.0227,Gowth rates,6.013215859030837
Revenue Growth (MRQ),-0.0134,0.7634000000000001,Gowth rates,-0.0175530521351847
Revenue Growth (TTM),0.08990000000000001,1.7572999999999999,Gowth rates,0.05115802651795369
Return On Equity (TTM),0.1898,0.2407,Effectiveness,0.7885334441213129
Return On Assets (TTM),0.10220000000000001,0.16899999999999998,Effectiveness,0.604733727810651
Return On Investment (TTM),0.1709,0.20510000000000003,Effectiveness,0.8332520721599218
Revenue Per Employee (TTM),710700.0,1707732.0,Effectiveness,0.41616600262804704
Total Debt/Total Capital (MRQ),0.10400000000000001,0.0821,Financial strength,1.266747868453106
Change in Debt/Total Capital Quarter over Quarter,,0.028999999999999998,Financial strength,
Quick Ratio (MRQ),,1.88,Financial strength,
Interest Coverage (MRQ),18.55,29.8,Financial strength,0.62248322147651
