,AXON,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",130.87,50.64,Valuation,2.5843206951026856
Price/Sales (TTM),12.48,4.74,Valuation,2.632911392405063
Price/Book (MRQ),10.86,4.28,Valuation,2.537383177570093
"PEG Ratio (TTM, GAAP)",7.48,1.95,Valuation,3.835897435897436
Gross Profit Margin (TTM),0.6142000000000001,0.19460000000000002,Profitability,3.156217882836588
Operating Profit Margin (TTM),0.04070000000000001,-0.5263,Profitability,-0.0773323199695991
Net Profit Margin (TTM),0.0975,-0.5391,Profitability,-0.1808569838619922
Annual Dividend Yield,,0.0139,Dividend,
Dividend Change %,,0.0564,Dividend,
"Dividend Growth Rate, 3 Years",,0.0055000000000000005,Dividend,
EPS Growth (MRQ),-0.7626999999999999,-3.8235,Gowth rates,0.19947691905322346
EPS Growth (TTM),4.6298,0.2595,Gowth rates,17.841233140655106
Revenue Growth (MRQ),0.09150000000000001,0.0689,Gowth rates,1.3280116110304792
Revenue Growth (TTM),0.22870000000000001,0.0147,Gowth rates,15.557823129251702
Return On Equity (TTM),0.0891,0.1825,Effectiveness,0.4882191780821918
Return On Assets (TTM),0.0571,0.047,Effectiveness,1.2148936170212765
Return On Investment (TTM),0.0734,0.0521,Effectiveness,1.4088291746641075
Revenue Per Employee (TTM),498776.0,411752.0,Effectiveness,1.2113505216732403
Total Debt/Total Capital (MRQ),0.0,0.5861,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,-0.0001,Financial strength,
Quick Ratio (MRQ),2.39,1.06,Financial strength,2.2547169811320753
Interest Coverage (MRQ),2.85,7.88,Financial strength,0.3616751269035533
