,AXON
% Below High,0.030600000000000002
% Held by Institutions,0.7843000000000001
52-Wk Range,['82.49 - 193.85']
Annual Dividend $,
Annual Dividend %,
Ask,188.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,181.87
Bid Size,100.0
Closing Price,187.92
Day Change $,0.17
Day Change %,0.0009
Day High,188.28
Day Low,185.86
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.44
Ex-dividend Date,No dividend
Historical Volatility,0.534
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,13.4B
"P/E Ratio (TTM, GAAP)",130.87
Prev Close,187.75
Short Interest,0.0339
Today's Open,187.37
Volume,266017.0
Volume 10-day Avg,597837.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.9595959595959596
Growth 1yr High Est,0.9351851851851849
Growth 1yr Consensus Est,0.9473905723905722
Growth 2yr Low Est,0.5700041653649901
Growth 2yr High Est,0.6972576643629274
Growth 2yr Consensus Est,0.6336309148639587
Growth 5yr Low Est,0.28500208268249505
Growth 5yr High Est,0.3486288321814637
Growth 5yr Consensus Est,0.31681545743197936
Growth 5yr Actual/Est,0.3011977466520783
Growth 3yr Historic,0.25968178920526985
Price/Earnings (TTM),130.8699
Price/Sales (TTM),12.4825
Price/Book (MRQ),10.859
Price/Cash Flow (TTM),104.5605
5yr Low,23.82
5yr High,212.37
5yr Avg Return,0.4282333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.2633805
Dividend Growth 5yr,
Short Int Current Month,2289021.0
Short Int Prev Month,1852984.0
Short Int Pct of Float,0.0339401
Days to Cover,2.89374
Float,67.43018
Shares Outstanding,71.16535
Institutions Holding Shares,521.0
FCF Growth 5yr,0.1326393062146358
"Price/Earnings (TTM, GAAP)",130.87
"PEG Ratio (TTM, GAAP)",7.48
Gross Profit Margin (TTM),0.6142000000000001
Operating Profit Margin (TTM),0.04070000000000001
Net Profit Margin (TTM),0.0975
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.7626999999999999
EPS Growth (TTM),4.6298
Revenue Growth (MRQ),0.09150000000000001
Revenue Growth (TTM),0.22870000000000001
Return On Equity (TTM),0.0891
Return On Assets (TTM),0.0571
Return On Investment (TTM),0.0734
Revenue Per Employee (TTM),498776.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),2.39
Interest Coverage (MRQ),2.85
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
marketEdge opinion,
researchTeam since,2021-08-13 00:00:00
ford since,2021-12-23 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,2019-07-11 00:00:00
marketEdge opinion since,
