,LQDA
% Above Low,0.5307000000000001
% Held by Institutions,0.4669
52-Wk Range,['3.26 - 8.79']
Annual Dividend $,
Annual Dividend %,
Ask,5.32
Ask Size,500.0
B/A Ratio,1.0
B/A Size,500x500
Beta,0.2
Bid,4.82
Bid Size,500.0
Closing Price,4.99
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.82
Ex-dividend Date,No dividend
Historical Volatility,1.034
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,321.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,4.99
Short Interest,0.0462
Today's Open,
Volume,119164.0
Volume 10-day Avg,352003.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-16 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.5674157303370786
Growth 1yr High Est,-0.5833333333333334
Growth 1yr Consensus Est,-0.5753745318352059
Growth 2yr Low Est,-0.17981176127243537
Growth 2yr High Est,-0.5702380952380952
Growth 2yr Consensus Est,-0.3750249282552653
Growth 5yr Low Est,-0.17198135233433087
Growth 5yr High Est,-0.35563186813186815
Growth 5yr Consensus Est,-0.2638066102330995
Growth 5yr Actual/Est,-0.2254969854914554
Growth 3yr Historic,-0.22936195613724797
Price/Earnings (TTM),
Price/Sales (TTM),23.3379
Price/Book (MRQ),3.38466
Price/Cash Flow (TTM),
5yr Low,2.25
5yr High,38.46
5yr Avg Return,0.054580000000000004
EPS Growth 5yr,
Revenue Growth 5yr,-0.0055642
Dividend Growth 5yr,
Short Int Current Month,2550166.0
Short Int Prev Month,3423367.0
Short Int Pct of Float,0.0461933
Days to Cover,6.22048
Float,55.25521
Shares Outstanding,64.49495
Institutions Holding Shares,113.0
FCF Growth 5yr,0.15700008112583616
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7904000000000001
Operating Profit Margin (TTM),-3.2366
Net Profit Margin (TTM),-3.339
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0716
EPS Growth (TTM),0.064
Revenue Growth (MRQ),-0.19219999999999998
Revenue Growth (TTM),0.32880000000000004
Return On Equity (TTM),-0.5482
Return On Assets (TTM),-0.39549999999999996
Return On Investment (TTM),-0.4218
Revenue Per Employee (TTM),293405.0
Total Debt/Total Capital (MRQ),0.1751
Change in Debt/Total Capital Quarter over Quarter,0.0038
Quick Ratio (MRQ),
Interest Coverage (MRQ),-33.84
theStreet,rating-box
cfra,
newConstructs,rating-box
ford,rating-box
researchTeam,rating-box
marketEdge opinion,
theStreet since,2021-04-04 00:00:00
cfra since,
newConstructs since,
ford since,
researchTeam since,
marketEdge opinion since,
