,2018,2019,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,38.46,22.4,12.1,5.4,8.79,,,,,
low,10.52,2.65,2.53,2.25,3.26,,,,,
change,0.7398,-0.8026000000000001,-0.32799999999999996,0.6453,0.0184,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash and Short Term Invs,,,,,,57494.0,57794.0,103840.0,98320.0,Balance Sheet
"Total Receivables, Net",,,,,,2990.0,3287.0,3753.0,3136.0,Balance Sheet
Prepaid Expenses,,,,,,792.0,874.0,907.0,1602.0,Balance Sheet
Total Current Assets,,,,,,61276.0,61955.0,108500.0,103058.0,Balance Sheet
Buildings,,,,,,11457.0,11457.0,11457.0,11457.0,Balance Sheet
Machinery/Equipment,,,,,,6947.0,6947.0,6895.0,6909.0,Balance Sheet
Construction in Progress,,,,,,0.0,,,80.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,2608.0,2538.0,2462.0,2382.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,21012.0,20942.0,20814.0,20828.0,Balance Sheet
Accumulated Depreciation,,,,,,-13583.0,-13986.0,-14329.0,-14699.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,7429.0,6956.0,6485.0,6129.0,Balance Sheet
"Goodwill, Net",,,,,,3903.0,3903.0,3903.0,3903.0,Balance Sheet
Intangibles - Net,,,,,,4390.0,4225.0,4041.0,3812.0,Balance Sheet
Other Long Term Assets,,,,,,16420.0,16486.0,16153.0,15666.0,Balance Sheet
Total Assets,,,,,,93729.0,93525.0,139082.0,132568.0,Balance Sheet
Accounts Payable,,,,,,1070.0,1666.0,1412.0,1140.0,Balance Sheet
Accrued Expenses,,,,,,5946.0,5976.0,5144.0,6089.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,311.0,334.0,281.0,231.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,0.0,,,,Balance Sheet
Total Current Liabilities,,,,,,7327.0,7976.0,6837.0,7460.0,Balance Sheet
Long Term Debt,,,,,,10410.0,19476.0,19606.0,19741.0,Balance Sheet
Capital Lease Obligations,,,,,,352.0,247.0,222.0,197.0,Balance Sheet
Total Long Term Debt,,,,,,10762.0,19723.0,19828.0,19938.0,Balance Sheet
Total Debt,,,,,,11073.0,20057.0,20109.0,20169.0,Balance Sheet
"Other Liabilities, Total",,,,,,10375.0,10437.0,10310.0,10136.0,Balance Sheet
Total Liabilities,,,,,,28464.0,38136.0,36975.0,37534.0,Balance Sheet
Common Stock,,,,,,52.0,53.0,64.0,64.0,Balance Sheet
Additional Paid-In Capital,,,,,,374794.0,380860.0,437014.0,439033.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,-309581.0,-325524.0,-334971.0,-344063.0,Balance Sheet
Total Equity,,,,,,65266.0,55389.0,102107.0,95034.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,93729.0,93525.0,139082.0,132568.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,52288.0,53054.0,64347.0,64460.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,,,3215.0,3492.0,3918.0,3165.0,Income Statement
"Cost of Revenue, Total",,,,,,726.0,694.0,731.0,740.0,Income Statement
Selling/Gen/Admin Expense,,,,,,5713.0,8702.0,5592.0,5388.0,Income Statement
Labor & Related Expense,,,,,,2718.0,3802.0,1310.0,1325.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,8431.0,12504.0,6902.0,6713.0,Income Statement
Research & Development,,,,,,5381.0,4728.0,5219.0,4512.0,Income Statement
Depreciation/Amortization,,,,,,40.0,38.0,36.0,31.0,Income Statement
Unusual Expense (Income),,,,,,,997.0,0.0,0.0,Income Statement
Total Operating Expense,,,,,,14577.0,18961.0,12888.0,11996.0,Income Statement
