,V
% Below High,0.1043
% Held by Institutions,0.9369
52-Wk Range,['174.60 - 235.85']
Annual Dividend $,1.8
Annual Dividend %,0.0084
Ask,211.89
Ask Size,500.0
B/A Ratio,2.0
B/A Size,1000x500
Beta,1.0
Bid,211.27
Bid Size,1000.0
Closing Price,211.26
Day Change $,-2.53
Day Change %,-0.0118
Day High,214.47
Day Low,210.65
Dividend Pay Date,2022-12-01 00:00:00
"EPS (TTM, GAAP)",7.0
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.309
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,447.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.54
Prev Close,213.79
Short Interest,0.0245
Today's Open,212.26
Volume,10229683.0
Volume 10-day Avg,6724040.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,30.0
Growth 1yr Low Est,0.1527377521613833
Growth 1yr High Est,0.13484646194926575
Growth 1yr Consensus Est,0.14379210705532453
Growth 2yr Low Est,0.12824387608069165
Growth 2yr High Est,0.1615408780334564
Growth 2yr Consensus Est,0.14489237705707403
Growth 5yr Low Est,0.15750446828900183
Growth 5yr High Est,0.17945757133654078
Growth 5yr Consensus Est,0.1684810198127713
Growth 5yr Actual/Est,0.17747644708586002
Growth 3yr Historic,0.11041364515349289
Price/Earnings (TTM),30.53545
Price/Sales (TTM),13.73839
Price/Book (MRQ),13.32346
Price/Cash Flow (TTM),25.45659
5yr Low,106.6
5yr High,252.67
5yr Avg Return,0.11881666666666668
EPS Growth 5yr,0.2014554
Revenue Growth 5yr,0.0980904
Dividend Growth 5yr,0.17844539999999998
Short Int Current Month,39821649.0
Short Int Prev Month,37663220.0
Short Int Pct of Float,0.0244924
Days to Cover,5.23525
Float,1429.545
Shares Outstanding,1883.495
Institutions Holding Shares,4218.0
FCF Growth 5yr,0.6455529679754176
"Price/Earnings (TTM, GAAP)",30.54
"PEG Ratio (TTM, GAAP)",1.82
Gross Profit Margin (TTM),0.8053
Operating Profit Margin (TTM),0.6419
Net Profit Margin (TTM),0.5103
Annual Dividend Yield,0.0084
Dividend Change %,0.17190000000000003
"Dividend Growth Rate, 3 Years",0.14470000000000002
EPS Growth (MRQ),0.1627
EPS Growth (TTM),0.3069
Revenue Growth (MRQ),0.0704
Revenue Growth (TTM),0.2159
Return On Equity (TTM),0.4318
Return On Assets (TTM),0.1776
Return On Investment (TTM),0.227
Revenue Per Employee (TTM),1106038.0
Total Debt/Total Capital (MRQ),0.38689999999999997
Change in Debt/Total Capital Quarter over Quarter,0.0004
Quick Ratio (MRQ),
Interest Coverage (MRQ),23.36
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-09-23 00:00:00
theStreet since,2011-03-01 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2019-02-05 00:00:00
ford since,2022-09-23 00:00:00
marketEdge opinion since,
