,XMTR,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,2519.53,Valuation,
Price/Sales (TTM),5.43,7.6,Valuation,0.7144736842105263
Price/Book (MRQ),5.13,10.0,Valuation,0.513
"PEG Ratio (TTM, GAAP)",,40.12,Valuation,
Gross Profit Margin (TTM),0.3785,0.4335,Profitability,0.8731257208765859
Operating Profit Margin (TTM),-0.20670000000000002,0.0117,Profitability,-17.666666666666668
Net Profit Margin (TTM),-0.2157,-0.0141,Profitability,15.297872340425533
Annual Dividend Yield,,0.0004,Dividend,
Dividend Change %,,0.0027,Dividend,
"Dividend Growth Rate, 3 Years",,0.0,Dividend,
EPS Growth (MRQ),0.096,-0.26239999999999997,Gowth rates,-0.3658536585365854
EPS Growth (TTM),-0.40380000000000005,-0.6279,Gowth rates,0.6430960344003823
Revenue Growth (MRQ),0.08320000000000001,0.1585,Gowth rates,0.5249211356466877
Revenue Growth (TTM),0.8495,0.12369999999999999,Gowth rates,6.867421180274859
Return On Equity (TTM),-0.2061,0.0635,Effectiveness,-3.2456692913385825
Return On Assets (TTM),-0.1343,-0.1317,Effectiveness,1.019741837509491
Return On Investment (TTM),-0.1464,0.0197,Effectiveness,-7.431472081218275
Revenue Per Employee (TTM),444105.0,354479.0,Effectiveness,1.2528386730948802
Total Debt/Total Capital (MRQ),0.4156,0.39840000000000003,Financial strength,1.043172690763052
Change in Debt/Total Capital Quarter over Quarter,274.3592,0.4575,Financial strength,599.6922404371584
Quick Ratio (MRQ),6.21,0.68,Financial strength,9.13235294117647
Interest Coverage (MRQ),-280.64,-0.6,Financial strength,467.73333333333335
