,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,97.57,64.35,,,,,
low,40.38,26.61,,,,,
change,-0.2463,-0.2159,,,,,
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,86.0,59.0,47.0,30.0,Balance Sheet
Short Term Investments,,,30.0,310.0,310.0,311.0,Balance Sheet
Cash and Short Term Invs,,,117.0,369.0,357.0,341.0,Balance Sheet
"Trade Accts Recvble, Gross",,,33.0,39.0,45.0,52.0,Balance Sheet
Prov. for Doubtful Accts,,,-1.0,-1.0,-2.0,-2.0,Balance Sheet
"Total Receivables, Net",,,32.0,38.0,44.0,51.0,Balance Sheet
Invent. - Finished Goods,,,0.0,0.0,0.0,0.0,Balance Sheet
Invent. - Work In Progress,,,1.0,1.0,1.0,5.0,Balance Sheet
Invent. - Raw Materials,,,0.0,0.0,0.0,0.0,Balance Sheet
Inventories - Other,,,0.0,0.0,1.0,1.0,Balance Sheet
Total Inventory,,,2.0,2.0,2.0,6.0,Balance Sheet
Prepaid Expenses,,,7.0,6.0,8.0,8.0,Balance Sheet
"Other Curr. Assets, Total",,,6.0,8.0,4.0,4.0,Balance Sheet
Total Current Assets,,,163.0,423.0,414.0,410.0,Balance Sheet
Buildings,,,1.0,1.0,1.0,1.0,Balance Sheet
Machinery/Equipment,,,18.0,20.0,23.0,27.0,Balance Sheet
Other Prop./Plant/Equip.,,,29.0,27.0,25.0,24.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,48.0,49.0,49.0,52.0,Balance Sheet
Accumulated Depreciation,,,-11.0,-11.0,-12.0,-13.0,Balance Sheet
Prop./Plant/Equip. - Net,,,38.0,37.0,37.0,40.0,Balance Sheet
"Goodwill, Gross",,,255.0,,,,Balance Sheet
Accum. Goodwill Amort.,,,0.0,,,,Balance Sheet
"Goodwill, Net",,,255.0,255.0,260.0,260.0,Balance Sheet
Intangibles - Gross,,,43.0,43.0,44.0,44.0,Balance Sheet
Accum. Intangible Amort.,,,-2.0,-3.0,-3.0,-4.0,Balance Sheet
Intangibles - Net,,,42.0,41.0,41.0,40.0,Balance Sheet
Long Term Investments,,,4.0,4.0,4.0,4.0,Balance Sheet
Other Long Term Assets,,,1.0,1.0,1.0,0.0,Balance Sheet
Total Assets,,,503.0,761.0,758.0,754.0,Balance Sheet
Accounts Payable,,,13.0,10.0,14.0,12.0,Balance Sheet
Accrued Expenses,,,36.0,34.0,35.0,42.0,Balance Sheet
Notes Payable/ST Debt,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,0.0,0.0,0.0,0.0,Balance Sheet
"Other Curr. Lblts, Total",,,8.0,10.0,11.0,11.0,Balance Sheet
Total Current Liabilities,,,57.0,54.0,60.0,65.0,Balance Sheet
Total Long Term Debt,,,0.0,279.0,279.0,279.0,Balance Sheet
Total Debt,,,0.0,279.0,279.0,279.0,Balance Sheet
Minority Interest,,,1.0,1.0,1.0,1.0,Balance Sheet
"Other Liabilities, Total",,,20.0,19.0,17.0,17.0,Balance Sheet
Total Liabilities,,,78.0,352.0,357.0,362.0,Balance Sheet
Common Stock,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,598.0,602.0,610.0,617.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,-173.0,-193.0,-210.0,-225.0,Balance Sheet
Cum. Trans. Adjustment,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Equity,,,0.0,0.0,0.0,,Balance Sheet
"Other Equity, Total",,,0.0,0.0,0.0,0.0,Balance Sheet
Total Equity,,,424.0,409.0,401.0,392.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,503.0,761.0,758.0,754.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,44.0,44.0,45.0,45.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,3.0,3.0,3.0,3.0,Balance Sheet
Ttl Comm. Shares Outs.,,,47.0,47.0,47.0,47.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,67098.0,83671.0,95615.0,103571.0,Income Statement
"Cost of Revenue, Total",,,46162.0,50732.0,57919.0,62670.0,Income Statement
Selling/Gen/Admin Expense,,,29327.0,33968.0,31952.0,34817.0,Income Statement
Labor & Related Expense,,,1883.0,2562.0,4351.0,4016.0,Income Statement
Advertising Expense,,,6300.0,7100.0,7900.0,8300.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,37510.0,43630.0,44203.0,47133.0,Income Statement
Research & Development,,,4741.0,6497.0,6991.0,6774.0,Income Statement
Depreciation,,,998.0,900.0,920.0,915.0,Income Statement
Amortiz of Intangibles,,,260.0,865.0,1064.0,953.0,Income Statement
Depreciation/Amortization,,,1258.0,1765.0,1984.0,1868.0,Income Statement
Impair-Assets Held for Use,,,0.0,,119.0,325.0,Income Statement
Other Unusual Expnse (In),,,0.0,,,,Income Statement
Unusual Expense (Income),,,0.0,,119.0,325.0,Income Statement
Total Operating Expense,,,89671.0,102624.0,111216.0,118770.0,Income Statement
Total Operating Income,,,-22573.0,-18953.0,-15601.0,-15199.0,Income Statement
"Inter Expse,Net Non-Operat",,,-53.0,-769.0,-1209.0,-1194.0,Income Statement
"Inter Income, Non-Operating",,,525.0,96.0,474.0,1344.0,Income Statement
"Invest Income, Non-Operat",,,41.0,-866.0,-31.0,-203.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,566.0,-770.0,443.0,1141.0,Income Statement
OtherNon-OperatInc (Expnse),,,-1845.0,-62.0,-182.0,211.0,Income Statement
"Other, Net",,,-1845.0,-62.0,-182.0,211.0,Income Statement
Income Before Tax,,,-23905.0,-20554.0,-16549.0,-15041.0,Income Statement
Income Tax - Total,,,,-559.0,0.0,0.0,Income Statement
Income After Tax,,,-23905.0,-19995.0,-16549.0,-15041.0,Income Statement
Minority Interest,,,2.0,-17.0,-4.0,4.0,Income Statement
Net Inc Before Extra Items,,,-23903.0,-20012.0,-16553.0,-15037.0,Income Statement
Total Net Income,,,-23903.0,-20012.0,-16553.0,-15037.0,Income Statement
Income Available to Common Excl. Extra. Items,,,-23903.0,-20012.0,-16553.0,-15037.0,Income Statement
Income Available to Common Incl. Extra. Items,,,-23903.0,-20012.0,-16553.0,-15037.0,Income Statement
Basic/Primary Weighted Average Shares,,,53526.0,46790.0,47074.0,47303.0,Income Statement
Basic/Primary EPS Excl. Extra. Items,,,-0.45,-0.43,-0.35,-0.32,Income Statement
Basic/Primary EPS Incl. Extra. Items,,,-0.45,-0.43,-0.35,-0.32,Income Statement
Diluted Weighted Average Shares,,,53526.0,46790.0,47074.0,47303.0,Income Statement
Diluted EPS Excl. Extra. Items,,,-0.45,-0.43,-0.35,-0.32,Income Statement
Diluted EPS Incl. Extra. Items,,,-0.45,-0.43,-0.35,-0.32,Income Statement
Div/Share-ComStockPrimIssue,,,,0.0,0.0,0.0,Income Statement
Pro Forma Net Income,,,,,,,Income Statement
"Interest Expense, Suppl",,,53.0,769.0,1209.0,1194.0,Income Statement
"Depreciat/Amort, Suppl",,,1032.0,934.0,944.0,956.0,Income Statement
Total Special Items,,,0.0,205.0,119.0,325.0,Income Statement
Normalzd Income Before Tax,,,-23905.0,-20349.0,-16430.0,-14716.0,Income Statement
Efct/SpecItemsIncTxs (STEC),,,0.0,72.0,0.0,0.0,Income Statement
IncTxsExcl ImpctofSpec Itms,,,0.0,-487.0,0.0,0.0,Income Statement
Normalized Income After Tax,,,-23905.0,-19862.0,-16430.0,-14716.0,Income Statement
Normalzd Inc Avail to Common,,,-23903.0,-19879.0,-16434.0,-14712.0,Income Statement
Basic Normalized EPS,,,-0.45,-0.42,-0.35,-0.31,Income Statement
Diluted Normalized EPS,,,-0.45,-0.42,-0.35,-0.31,Income Statement
Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Cash Flow
Net Income,,,-61381.0,-19995.0,-36544.0,-51585.0,Cash Flow
Depreciation/Depletion,,,3596.0,1799.0,3807.0,5716.0,Cash Flow
Deferred Taxes,,,-179.0,-2.0,-2.0,-2.0,Cash Flow
Unusual Items,,,2294.0,929.0,1380.0,2174.0,Cash Flow
Equity in Net Earnings/Loss,,,-41.0,-34.0,-103.0,-100.0,Cash Flow
Other Non-Cash Items,,,10788.0,5408.0,14416.0,22796.0,Cash Flow
Non-Cash Items,,,13041.0,6303.0,15693.0,24870.0,Cash Flow
"Cash Interest Pd, Suppl",,,907.0,0.0,0.0,1414.0,Cash Flow
Accounts Receivable,,,-11117.0,-6145.0,-11833.0,-19032.0,Cash Flow
Inventories,,,293.0,-180.0,272.0,-3680.0,Cash Flow
Prepaid Expenses,,,-4025.0,567.0,-1649.0,-1784.0,Cash Flow
Other Assets,,,464.0,-1787.0,-3861.0,-3922.0,Cash Flow
Accounts Payable,,,5215.0,-2752.0,1873.0,-240.0,Cash Flow
Accrued Expenses,,,-12853.0,-4212.0,-4814.0,1372.0,Cash Flow
Changes in Working Capital,,,-23648.0,-12364.0,-17150.0,-24509.0,Cash Flow
Total Cash from Operations,,,-68571.0,-24259.0,-34196.0,-45510.0,Cash Flow
Capital Expenditures,,,-6262.0,-2543.0,-5436.0,-9608.0,Cash Flow
Acquisition of Business,,,-174646.0,,,,Cash Flow
Sale of Fixed Assets,,,0.0,165.0,165.0,165.0,Cash Flow
Sale/Maturity of Investment,,,235000.0,4.0,4.0,4.0,Cash Flow
Purchase of Investments,,,-267467.0,-280091.0,-280559.0,-281897.0,Cash Flow
Other Investing Cash Flow,,,627.0,,,,Cash Flow
"OtherInvestCashFlowItms,Tot",,,-206486.0,-279922.0,-280390.0,-281728.0,Cash Flow
Total Cash from Investing,,,-212748.0,-282465.0,-285826.0,-291336.0,Cash Flow
Financing Cash Flow Items,,,-3678.0,-9301.0,-9309.0,-9309.0,Cash Flow
"Common Stock, Net",,,325263.0,,,0.0,Cash Flow
"Preferred Stock, Net",,,0.0,,,,Cash Flow
Options Exercised,,,2291.0,1263.0,2470.0,3317.0,Cash Flow
Warrants Converted,,,40.0,,,,Cash Flow
"Iss (Retirmnt) of Stock,Net",,,327594.0,1263.0,2470.0,3317.0,Cash Flow
Long Term Debt Issued,,,0.0,287500.0,287500.0,287500.0,Cash Flow
Long Term Debt Reduction,,,-16148.0,-2.0,-2.0,-2.0,Cash Flow
"Iss (Retirmnt) of Debt, Net",,,-16148.0,287498.0,287498.0,287498.0,Cash Flow
Total Cash From Financing,,,307768.0,279460.0,280659.0,281506.0,Cash Flow
Foreign Exchange Effects,,,-61.0,-29.0,-66.0,-425.0,Cash Flow
Net Change in Cash,,,26388.0,-27293.0,-39429.0,-55765.0,Cash Flow
NetCash-BeginBal/RsvdforFutUse,,,59874.0,86262.0,86262.0,86262.0,Cash Flow
NetCash-EndBal/RsrvforFutUse,,,86262.0,58969.0,46833.0,30497.0,Cash Flow
"Depreciation, Supplemental",,,3596.0,1799.0,3807.0,5716.0,Cash Flow
Free Cash Flow,,,-74833.0,-26802.0,-39632.0,-55118.0,
FCF Growth,,,,-0.64184250263921,0.47869561972987085,0.3907448526443278,
