,DAVA,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",37.94,,Valuation,
Price/Sales (TTM),4.98,,Valuation,
Price/Book (MRQ),7.21,,Valuation,
"PEG Ratio (TTM, GAAP)",,,Valuation,
Gross Profit Margin (TTM),0.3307,,Profitability,
Operating Profit Margin (TTM),0.1404,,Profitability,
Net Profit Margin (TTM),0.134,,Profitability,
EPS Growth (MRQ),0.17559999999999998,,Gowth rates,
EPS Growth (TTM),0.6313000000000001,,Gowth rates,
Revenue Growth (MRQ),0.0874,,Gowth rates,
Revenue Growth (TTM),0.4108,,Gowth rates,
Return On Equity (TTM),0.2302,,Effectiveness,
Return On Assets (TTM),0.1565,,Effectiveness,
Return On Investment (TTM),0.19920000000000002,,Effectiveness,
Revenue Per Employee (TTM),71771.0,,Effectiveness,
Total Debt/Total Capital (MRQ),0.11710000000000001,,Financial strength,
Change in Debt/Total Capital Quarter over Quarter,-0.0021,,Financial strength,
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,,Financial strength,
