,2018,2019,2020,2021,2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Report
high,31.5,49.75,77.95,172.41,167.98,,,,,
low,21.13,21.42,27.21,72.15,61.55,,,,,
change,-0.034,0.9506,0.64,1.1813,-0.5543,,,,,
Date,,,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,,,114.0,120.0,163.0,182.0,Balance Sheet
Short Term Investments,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Cash and Short Term Invs,,,,,,115.0,121.0,163.0,183.0,Balance Sheet
"Trade Accts Recvble, Net",,,,,,144.0,159.0,163.0,191.0,Balance Sheet
Other Receivables,,,,,,1.0,2.0,2.0,3.0,Balance Sheet
"Total Receivables, Net",,,,,,145.0,161.0,165.0,194.0,Balance Sheet
Total Current Assets,,,,,,260.0,282.0,328.0,376.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,69.0,69.0,72.0,83.0,Balance Sheet
"Goodwill, Net",,,,,,125.0,142.0,146.0,153.0,Balance Sheet
Intangibles - Net,,,,,,64.0,61.0,56.0,56.0,Balance Sheet
Long Term Investments,,,,,,0.0,0.0,2.0,3.0,Balance Sheet
Def. Inc. Tax - LT Asset,,,,,,21.0,18.0,17.0,20.0,Balance Sheet
Total Assets,,,,,,539.0,572.0,622.0,691.0,Balance Sheet
Payable/Accrued,,,,,,94.0,89.0,98.0,102.0,Balance Sheet
Notes Payable/ST Debt,,,,,,0.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,12.0,12.0,12.0,13.0,Balance Sheet
Income Taxes Payable,,,,,,0.0,4.0,3.0,12.0,Balance Sheet
Other Current Liabilities,,,,,,13.0,11.0,15.0,14.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,13.0,15.0,18.0,26.0,Balance Sheet
Total Current Liabilities,,,,,,119.0,116.0,128.0,141.0,Balance Sheet
Total Long Term Debt,,,,,,45.0,44.0,44.0,51.0,Balance Sheet
Total Debt,,,,,,57.0,56.0,56.0,64.0,Balance Sheet
Deferred Income Tax,,,,,,9.0,8.0,11.0,3.0,Balance Sheet
