,DAVA
% Above Low,0.20940000000000003
% Held by Institutions,0.7254
52-Wk Range,['61.55 - 170.88']
Annual Dividend $,
Annual Dividend %,
Ask,84.1
Ask Size,400.0
B/A Ratio,0.75
B/A Size,300x400
Beta,1.2
Bid,62.99
Bid Size,300.0
Closing Price,74.44
Day Change $,-0.19
Day Change %,-0.0025
Day High,75.16
Day Low,73.17
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.96
Ex-dividend Date,No dividend
Historical Volatility,0.622
Last (size),30.0
Last (time),5:00p ET 11/25/22
Market Cap,4.2B
"P/E Ratio (TTM, GAAP)",37.94
Prev Close,74.63
Short Interest,0.0125
Today's Open,74.14
Volume,53168.0
Volume 10-day Avg,346718.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.24726315789473685
Growth 1yr High Est,0.25923613279217395
Growth 1yr Consensus Est,0.2532496453434554
Growth 2yr Low Est,0.20806908422207515
Growth 2yr High Est,0.3923866614374093
Growth 2yr Consensus Est,0.3002278728297422
Growth 5yr Low Est,0.20806908422207515
Growth 5yr High Est,0.3923866614374093
Growth 5yr Consensus Est,0.3002278728297422
Growth 5yr Actual/Est,0.3185902046592671
Growth 3yr Historic,0.19615384615384618
Price/Earnings (TTM),37.94455
Price/Sales (TTM),4.97992
Price/Book (MRQ),7.21091
Price/Cash Flow (TTM),28.30553
5yr Low,21.13
5yr High,172.41
5yr Avg Return,0.4367199999999999
EPS Growth 5yr,0.3499727
Revenue Growth 5yr,0.3265872
Dividend Growth 5yr,
Short Int Current Month,502771.0
Short Int Prev Month,528059.0
Short Int Pct of Float,0.012471699999999999
Days to Cover,1.27054
Float,18.56059
Shares Outstanding,56.91047
Institutions Holding Shares,222.0
FCF Growth 5yr,0.07445388374777118
"Price/Earnings (TTM, GAAP)",37.94
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3307
Operating Profit Margin (TTM),0.1404
Net Profit Margin (TTM),0.134
EPS Growth (MRQ),0.17559999999999998
EPS Growth (TTM),0.6313000000000001
Revenue Growth (MRQ),0.0874
Revenue Growth (TTM),0.4108
Return On Equity (TTM),0.2302
Return On Assets (TTM),0.1565
Return On Investment (TTM),0.19920000000000002
Revenue Per Employee (TTM),71771.0
Total Debt/Total Capital (MRQ),0.11710000000000001
Change in Debt/Total Capital Quarter over Quarter,-0.0021
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
cfra,
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
marketEdge opinion,
researchTeam since,2022-04-01 00:00:00
cfra since,2022-04-01 00:00:00
theStreet since,2021-05-20 00:00:00
newConstructs since,
ford since,
marketEdge opinion since,
