,RDN,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",4.37,10.14,Valuation,0.43096646942800787
Price/Sales (TTM),2.5,3.47,Valuation,0.7204610951008645
Price/Book (MRQ),0.81,9.31,Valuation,0.08700322234156821
"PEG Ratio (TTM, GAAP)",2.12,4.08,Valuation,0.5196078431372549
Gross Profit Margin (TTM),,0.1227,Profitability,
Operating Profit Margin (TTM),0.8893000000000001,0.4806,Profitability,1.8503953391593841
Net Profit Margin (TTM),0.6374000000000001,0.36590000000000006,Profitability,1.742006012571741
Annual Dividend Yield,0.0414,0.028300000000000002,Dividend,1.4628975265017667
Dividend Change %,0.09,0.0643,Dividend,1.3996889580093312
"Dividend Growth Rate, 3 Years",2.7914,0.11699999999999999,Dividend,23.85811965811966
EPS Growth (MRQ),0.049400000000000006,-0.049,Gowth rates,-1.0081632653061225
EPS Growth (TTM),0.5395000000000001,0.024900000000000002,Gowth rates,21.666666666666668
Revenue Growth (MRQ),0.0326,-0.0564,Gowth rates,-0.5780141843971631
Revenue Growth (TTM),-0.10800000000000001,-0.10250000000000001,Gowth rates,1.053658536585366
Return On Equity (TTM),0.1936,0.1595,Effectiveness,1.2137931034482758
Return On Assets (TTM),0.10300000000000001,0.0533,Effectiveness,1.9324577861163228
Return On Investment (TTM),,0.07740000000000001,Effectiveness,
Revenue Per Employee (TTM),674649.0,656704.0,Effectiveness,1.0273258576162168
Total Debt/Total Capital (MRQ),0.2953,0.2934,Financial strength,1.0064758009543286
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002,-0.0009,Financial strength,-1.5555555555555558
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),13.06,6.57,Financial strength,1.9878234398782344
