,RDN
Price/Earnings (TTM),4.3682
Price/Sales (TTM),2.4982
Price/Book (MRQ),0.81174
Price/Cash Flow (TTM),3.82517
5yr Low,9.53
5yr High,26.32
5yr Avg Return,0.01343333333333333
EPS Growth 5yr,0.1861507
Revenue Growth 5yr,0.014355199999999999
Dividend Growth 5yr,1.22474
Short Int Current Month,5590278.0
Short Int Prev Month,6572981.0
Short Int Pct of Float,0.0359047
Days to Cover,3.57083
Float,155.6446
Shares Outstanding,157.0254
Institutions Holding Shares,357.0
% Held by Institutions,0.970675
FCF Growth 5yr,0.10012688703800099
