,RDN
% Above Low,0.0804
% Held by Institutions,0.9706999999999999
52-Wk Range,['17.97 - 24.84']
Annual Dividend $,0.8
Annual Dividend %,0.0414
Ask,19.42
Ask Size,400.0
B/A Ratio,1.25
B/A Size,500x400
Beta,1.2
Bid,19.41
Bid Size,500.0
Day Change $,0.095
Day Change %,0.0049
Day High,19.45
Day Low,19.23
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",4.42
Ex-dividend,2022-11-18 00:00:00
Ex-dividend Date,11/18/22
Historical Volatility,0.292
Last (size),100.0
Last (time),12:27p ET 11/28/22
Market Cap,3.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",4.37
Prev Close,19.32
Price,19.42
Short Interest,0.0359
Today's Open,19.26
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,1.80625
Growth 1yr High Est,1.7225433526011562
Growth 1yr Consensus Est,1.764396676300578
Growth 2yr Low Est,0.6815214365256124
Growth 2yr High Est,0.7222058588908116
Growth 2yr Consensus Est,0.701863647708212
Growth 5yr Low Est,0.2219082592464128
Growth 5yr High Est,0.24884178294859052
Growth 5yr Consensus Est,0.23537502109750166
Growth 5yr Actual/Est,0.11741861961241684
Growth 3yr Historic,0.08810022558814048
Price/Earnings (TTM),4.3682
Price/Sales (TTM),2.4982
Price/Book (MRQ),0.81174
Price/Cash Flow (TTM),3.82517
5yr Low,9.53
5yr High,26.32
5yr Avg Return,0.01343333333333333
EPS Growth 5yr,0.1861507
Revenue Growth 5yr,0.014355199999999999
Dividend Growth 5yr,1.22474
Short Int Current Month,5590278.0
Short Int Prev Month,6572981.0
Short Int Pct of Float,0.0359047
Days to Cover,3.57083
Float,155.6446
Shares Outstanding,157.0254
Institutions Holding Shares,357.0
FCF Growth 5yr,0.10012688703800099
"Price/Earnings (TTM, GAAP)",4.37
"PEG Ratio (TTM, GAAP)",2.12
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.8893000000000001
Net Profit Margin (TTM),0.6374000000000001
Annual Dividend Yield,0.0414
Dividend Change %,0.09
"Dividend Growth Rate, 3 Years",2.7914
EPS Growth (MRQ),0.049400000000000006
EPS Growth (TTM),0.5395000000000001
Revenue Growth (MRQ),0.0326
Revenue Growth (TTM),-0.10800000000000001
Return On Equity (TTM),0.1936
Return On Assets (TTM),0.10300000000000001
Return On Investment (TTM),
Revenue Per Employee (TTM),674649.0
Total Debt/Total Capital (MRQ),0.2953
Change in Debt/Total Capital Quarter over Quarter,0.0014000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),13.06
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-08-05 00:00:00
theStreet since,2020-11-06 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-21 00:00:00
cfra since,
marketEdge opinion since,
