,WMT
% Below High,0.0452
% Held by Institutions,0.3106
52-Wk Range,['117.27 - 160.77']
Annual Dividend $,2.24
Annual Dividend %,0.0146
Ask,154.06
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,0.5
Bid,153.52
Bid Size,1000.0
Closing Price,153.51
Day Change $,0.44
Day Change %,0.0029
Day High,154.64
Day Low,152.72
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",3.24
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.27399999999999997
Last (size),26.0
Last (time),7:00p ET 11/28/22
Market Cap,416.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",47.3
Prev Close,153.07
Short Interest,0.0084
Today's Open,152.72
Volume,5893321.0
Volume 10-day Avg,8818386.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,36.0
Growth 1yr Low Est,-0.0676100628930818
Growth 1yr High Est,-0.03686635944700467
Growth 1yr Consensus Est,-0.052238211170043236
Growth 2yr Low Est,-0.02537332824249361
Growth 2yr High Est,0.05812184419994271
Growth 2yr Consensus Est,0.01637425797872455
Growth 5yr Low Est,0.057424514678631355
Growth 5yr High Est,0.09701589018561241
Growth 5yr Consensus Est,0.07722020243212188
Growth 5yr Actual/Est,0.07851055881092847
Growth 3yr Historic,0.07259849572852045
Price/Earnings (TTM),47.29872
Price/Sales (TTM),0.69232
Price/Book (MRQ),5.75019
Price/Cash Flow (TTM),20.81922
5yr Low,81.78
5yr High,160.77
5yr Avg Return,0.08868333333333334
EPS Growth 5yr,0.021438199999999998
Revenue Growth 5yr,0.0334491
Dividend Growth 5yr,0.0192449
Short Int Current Month,11807965.0
Short Int Prev Month,12223901.0
Short Int Pct of Float,0.0084323
Days to Cover,1.54622
Float,1400.71
Shares Outstanding,2714.238
Institutions Holding Shares,3150.0
FCF Growth 5yr,-0.5745130183978525
"Price/Earnings (TTM, GAAP)",47.3
"PEG Ratio (TTM, GAAP)",10.89
Gross Profit Margin (TTM),0.2438
Operating Profit Margin (TTM),0.0356
Net Profit Margin (TTM),0.0152
Annual Dividend Yield,0.0146
Dividend Change %,0.018500000000000003
"Dividend Growth Rate, 3 Years",0.0189
EPS Growth (MRQ),-1.3536000000000001
EPS Growth (TTM),0.133
Revenue Growth (MRQ),-0.0003
Revenue Growth (TTM),0.0492
Return On Equity (TTM),0.1161
Return On Assets (TTM),0.037000000000000005
Return On Investment (TTM),0.0636
Revenue Per Employee (TTM),260918.0
Total Debt/Total Capital (MRQ),0.38939999999999997
Change in Debt/Total Capital Quarter over Quarter,0.0018
Quick Ratio (MRQ),0.23
Interest Coverage (MRQ),5.39
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-18 00:00:00
theStreet since,2022-09-30 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-09-22 00:00:00
ford since,2022-11-18 00:00:00
marketEdge opinion since,
