,SOVO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,20.59,Valuation,
Price/Sales (TTM),1.79,3.73,Valuation,0.47989276139410186
Price/Book (MRQ),2.88,13.84,Valuation,0.20809248554913296
"PEG Ratio (TTM, GAAP)",,0.09,Valuation,
Gross Profit Margin (TTM),0.2858,0.272,Profitability,1.0507352941176469
Operating Profit Margin (TTM),-0.015300000000000001,-0.0195,Profitability,0.7846153846153847
Net Profit Margin (TTM),-0.0355,0.0633,Profitability,-0.560821484992101
Annual Dividend Yield,,0.022400000000000003,Dividend,
Dividend Change %,,0.0626,Dividend,
"Dividend Growth Rate, 3 Years",,0.03,Dividend,
EPS Growth (MRQ),1.048,0.2782,Gowth rates,3.7670740474478794
EPS Growth (TTM),-8.2278,2.1703,Gowth rates,-3.7910887895682626
Revenue Growth (MRQ),0.0581,0.1463,Gowth rates,0.3971291866028708
Revenue Growth (TTM),0.16460000000000002,0.1387,Gowth rates,1.1867339581831293
Return On Equity (TTM),-0.0806,0.1827,Effectiveness,-0.441160372194855
Return On Assets (TTM),-0.0242,0.0553,Effectiveness,-0.43761301989150087
Return On Investment (TTM),-0.0267,0.06559999999999999,Effectiveness,-0.4070121951219513
Revenue Per Employee (TTM),1324864.0,841800.0,Effectiveness,1.5738465193632691
Total Debt/Total Capital (MRQ),0.4913,0.42450000000000004,Financial strength,1.15736160188457
Change in Debt/Total Capital Quarter over Quarter,-0.0038,0.0048,Financial strength,-0.7916666666666667
Quick Ratio (MRQ),1.48,0.77,Financial strength,1.922077922077922
Interest Coverage (MRQ),1.77,6.87,Financial strength,0.2576419213973799
