,SOVO
% Below High,0.1895
% Held by Institutions,0.9194
52-Wk Range,['9.52 - 17.41']
Annual Dividend $,
Annual Dividend %,
Ask,14.13
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,14.11
Bid Size,200.0
Day Change $,-0.15
Day Change %,-0.0105
Day High,14.31
Day Low,14.1
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.28
Ex-dividend Date,No dividend
Historical Volatility,0.44799999999999995
Last (size),100.0
Last (time),2:55p ET 11/28/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",
Prev Close,14.26
Price,14.11
Short Interest,0.044199999999999996
Today's Open,14.28
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-14 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.0357142857142857
Growth 2yr High Est,0.21666666666666679
Growth 2yr Consensus Est,0.09047619047619054
Growth 5yr Low Est,-0.0357142857142857
Growth 5yr High Est,0.21666666666666679
Growth 5yr Consensus Est,0.09047619047619054
Growth 5yr Actual/Est,-0.024060730828615595
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),1.78732
Price/Book (MRQ),2.88339
Price/Cash Flow (TTM),142.6876
5yr Low,9.52
5yr High,17.41
5yr Avg Return,-0.0212
Short Int Current Month,1635874.0
Short Int Prev Month,1660957.0
Short Int Pct of Float,0.0441543
Days to Cover,4.36119
Float,90.74818
Shares Outstanding,100.962
Institutions Holding Shares,135.0
FCF Growth 5yr,0.3900348941378093
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.2858
Operating Profit Margin (TTM),-0.015300000000000001
Net Profit Margin (TTM),-0.0355
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.048
EPS Growth (TTM),-8.2278
Revenue Growth (MRQ),0.0581
Revenue Growth (TTM),0.16460000000000002
Return On Equity (TTM),-0.0806
Return On Assets (TTM),-0.0242
Return On Investment (TTM),-0.0267
Revenue Per Employee (TTM),1324864.0
Total Debt/Total Capital (MRQ),0.4913
Change in Debt/Total Capital Quarter over Quarter,-0.0038
Quick Ratio (MRQ),1.48
Interest Coverage (MRQ),1.77
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-11-14 00:00:00
theStreet since,2022-11-14 00:00:00
ford since,2021-12-31 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
