,ATGE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",37.48,-674.43,Valuation,-0.055572854113844286
Price/Sales (TTM),1.26,3.81,Valuation,0.33070866141732286
Price/Book (MRQ),1.21,2.94,Valuation,0.41156462585034015
"PEG Ratio (TTM, GAAP)",2.5,-5.1,Valuation,-0.4901960784313726
Gross Profit Margin (TTM),0.5406000000000001,0.30350000000000005,Profitability,1.7812191103789126
Operating Profit Margin (TTM),0.08650000000000001,0.047,Profitability,1.8404255319148937
Net Profit Margin (TTM),0.0366,0.024900000000000002,Profitability,1.469879518072289
Annual Dividend Yield,,0.0049,Dividend,
Dividend Change %,,0.015500000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.013000000000000001,Dividend,
EPS Growth (MRQ),1.3130000000000002,-8.9082,Gowth rates,-0.14739229024943312
EPS Growth (TTM),2.9201,1.3234000000000001,Gowth rates,2.206513525766964
Revenue Growth (MRQ),-0.018500000000000003,0.0315,Gowth rates,-0.5873015873015873
Revenue Growth (TTM),0.4866,0.1202,Gowth rates,4.048252911813644
Return On Equity (TTM),0.0383,0.0073,Effectiveness,5.2465753424657535
Return On Assets (TTM),0.015700000000000002,-0.0022,Effectiveness,-7.136363636363637
Return On Investment (TTM),0.0189,0.005699999999999999,Effectiveness,3.315789473684211
Revenue Per Employee (TTM),336798.0,227358.0,Effectiveness,1.4813553954556251
Total Debt/Total Capital (MRQ),0.32939999999999997,0.5721,Financial strength,0.5757734661772417
Change in Debt/Total Capital Quarter over Quarter,-0.0042,0.001,Financial strength,-4.199999999999999
Quick Ratio (MRQ),,0.56,Financial strength,
Interest Coverage (MRQ),2.88,2.57,Financial strength,1.1206225680933852
