,ATGE
% Below High,0.0913
% Held by Institutions,1.0275
52-Wk Range,['19.14 - 44.40']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.0
Bid,40.0
Bid Size,
Closing Price,40.34
Day Change $,-0.13
Day Change %,-0.0032
Day High,40.86
Day Low,40.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.08
Ex-dividend Date,No dividend
Historical Volatility,0.43200000000000005
Last (size),21.0
Last (time),5:00p ET 11/25/22
Market Cap,1.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",37.48
Prev Close,40.47
Short Interest,0.0327
Today's Open,40.1
Volume,67288.0
Volume 10-day Avg,293227.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.24921135646687698
Growth 1yr High Est,0.2553846153846153
Growth 1yr Consensus Est,0.25229798592574615
Growth 2yr Low Est,0.1687975974253576
Growth 2yr High Est,0.1607805429864253
Growth 2yr Consensus Est,0.16478907020589145
Growth 5yr Low Est,0.17266238697626707
Growth 5yr High Est,0.15588680665990662
Growth 5yr Consensus Est,0.16427459681808684
Growth 5yr Actual/Est,0.17730673004050923
Growth 3yr Historic,0.09856646650182505
Price/Earnings (TTM),37.47991
Price/Sales (TTM),1.26092
Price/Book (MRQ),1.21273
Price/Cash Flow (TTM),9.32565
5yr Low,19.14
5yr High,58.8
5yr Avg Return,0.023816666666666663
EPS Growth 5yr,
Revenue Growth 5yr,0.0280544
Dividend Growth 5yr,
Short Int Current Month,1455829.0
Short Int Prev Month,2005343.0
Short Int Pct of Float,0.032723499999999996
Days to Cover,3.13529
Float,44.49921
Shares Outstanding,45.40465
Institutions Holding Shares,253.0
FCF Growth 5yr,-3.281061850027367
"Price/Earnings (TTM, GAAP)",37.48
"PEG Ratio (TTM, GAAP)",2.5
Gross Profit Margin (TTM),0.5406000000000001
Operating Profit Margin (TTM),0.08650000000000001
Net Profit Margin (TTM),0.0366
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.3130000000000002
EPS Growth (TTM),2.9201
Revenue Growth (MRQ),-0.018500000000000003
Revenue Growth (TTM),0.4866
Return On Equity (TTM),0.0383
Return On Assets (TTM),0.015700000000000002
Return On Investment (TTM),0.0189
Revenue Per Employee (TTM),336798.0
Total Debt/Total Capital (MRQ),0.32939999999999997
Change in Debt/Total Capital Quarter over Quarter,-0.0042
Quick Ratio (MRQ),
Interest Coverage (MRQ),2.88
researchTeam,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
theStreet,rating-box
researchTeam since,2022-11-13 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-11-20 00:00:00
theStreet since,2022-11-11 00:00:00
