,LYFT,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,29.96,Valuation,
Price/Sales (TTM),1.03,3.76,Valuation,0.273936170212766
Price/Book (MRQ),5.25,7.0,Valuation,0.75
"PEG Ratio (TTM, GAAP)",,3.13,Valuation,
Gross Profit Margin (TTM),0.3199,0.5844,Profitability,0.5473990417522245
Operating Profit Margin (TTM),-0.327,0.2133,Profitability,-1.5330520393811535
Net Profit Margin (TTM),-0.3289,0.1038,Profitability,-3.16859344894027
Annual Dividend Yield,,0.013000000000000001,Dividend,
Dividend Change %,,0.09210000000000002,Dividend,
"Dividend Growth Rate, 3 Years",,0.09480000000000001,Dividend,
EPS Growth (MRQ),-0.1005,0.3065,Gowth rates,-0.3278955954323002
EPS Growth (TTM),0.0366,0.0956,Gowth rates,0.3828451882845188
Revenue Growth (MRQ),0.0637,0.2373,Gowth rates,0.26843657817109146
Revenue Growth (TTM),0.38520000000000004,0.2979,Gowth rates,1.2930513595166164
Return On Equity (TTM),-1.1520000000000001,0.1677,Effectiveness,-6.869409660107336
Return On Assets (TTM),-0.2715,0.065,Effectiveness,-4.176923076923077
Return On Investment (TTM),-0.6076,0.06480000000000001,Effectiveness,-9.376543209876543
Revenue Per Employee (TTM),873585.0,723294.0,Effectiveness,1.2077868750466616
Total Debt/Total Capital (MRQ),0.535,0.5356000000000001,Financial strength,0.9988797610156832
Change in Debt/Total Capital Quarter over Quarter,0.0039000000000000003,0.0005,Financial strength,7.800000000000001
Quick Ratio (MRQ),,0.75,Financial strength,
Interest Coverage (MRQ),,13.38,Financial strength,
