,2017,2018,2019,2020,2021,2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Report
high,57.55,74.4,80.52,101.25,112.08,108.9,,,,,
low,44.05,37.0,38.73,59.06,65.67,54.4,,,,,
change,-0.1503,-0.1487,0.9209999999999999,0.1668,0.1134,-0.4737,,,,,
Date,,,,,,,2022-01-01 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,2022-10-01 00:00:00,Balance Sheet
Cash,,,,,,,,,236.0,,Balance Sheet
Cash & Equivalents,,,,,,,552.0,1130.0,1054.0,605.0,Balance Sheet
Short Term Investments,,,,,,,1470.0,1434.0,1259.0,1020.0,Balance Sheet
Cash and Short Term Invs,,,,,,,2022.0,2564.0,2549.0,1625.0,Balance Sheet
"Trade Accts Recvble, Gross",,,,,,,239.0,242.0,262.0,341.0,Balance Sheet
Prov. for Doubtful Accts,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
"Total Receivables, Net",,,,,,,239.0,242.0,262.0,341.0,Balance Sheet
Invent. - Finished Goods,,,,,,,50.0,46.0,59.0,82.0,Balance Sheet
Invent. - Work In Progress,,,,,,,87.0,100.0,92.0,133.0,Balance Sheet
Invent. - Raw Materials,,,,,,,72.0,78.0,99.0,151.0,Balance Sheet
Total Inventory,,,,,,,208.0,224.0,250.0,366.0,Balance Sheet
Prepaid Expenses,,,,,,,70.0,70.0,78.0,107.0,Balance Sheet
Total Current Assets,,,,,,,2540.0,3101.0,3139.0,2438.0,Balance Sheet
Buildings,,,,,,,131.0,134.0,141.0,187.0,Balance Sheet
Land/Improvements,,,,,,,49.0,49.0,50.0,63.0,Balance Sheet
Machinery/Equipment,,,,,,,563.0,567.0,580.0,650.0,Balance Sheet
Construction in Progress,,,,,,,38.0,45.0,47.0,56.0,Balance Sheet
Other Prop./Plant/Equip.,,,,,,,109.0,110.0,111.0,130.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,,,,889.0,905.0,929.0,1087.0,Balance Sheet
Accumulated Depreciation,,,,,,,-454.0,-475.0,-495.0,-520.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,,,,435.0,431.0,434.0,567.0,Balance Sheet
"Goodwill, Net",,,,,,,369.0,369.0,369.0,694.0,Balance Sheet
Intangibles - Gross,,,,,,,560.0,560.0,535.0,988.0,Balance Sheet
Accum. Intangible Amort.,,,,,,,-362.0,-383.0,-380.0,-412.0,Balance Sheet
Intangibles - Net,,,,,,,198.0,177.0,156.0,576.0,Balance Sheet
Other Long Term Assets,,,,,,,7.0,37.0,37.0,11.0,Balance Sheet
Total Assets,,,,,,,3616.0,4134.0,4162.0,4387.0,Balance Sheet
Accounts Payable,,,,,,,118.0,127.0,157.0,206.0,Balance Sheet
Accrued Expenses,,,,,,,113.0,105.0,121.0,142.0,Balance Sheet
Notes Payable/ST Debt,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,,,,401.0,406.0,410.0,420.0,Balance Sheet
Customer Advances,,,,,,,0.0,0.0,0.0,,Balance Sheet
Income Taxes Payable,,,,,,,21.0,17.0,26.0,27.0,Balance Sheet
Other Current Liabilities,,,,,,,5.0,5.0,3.0,8.0,Balance Sheet
"Other Curr. Lblts, Total",,,,,,,25.0,22.0,29.0,35.0,Balance Sheet
Total Current Liabilities,,,,,,,657.0,661.0,717.0,803.0,Balance Sheet
Total Long Term Debt,,,,,,,810.0,1448.0,1466.0,1900.0,Balance Sheet
Total Debt,,,,,,,1211.0,1854.0,1876.0,2320.0,Balance Sheet
Deferred Income Tax,,,,,,,29.0,18.0,13.0,25.0,Balance Sheet
Reserves,,,,,,,5.0,5.0,5.0,8.0,Balance Sheet
Pension Benefits - Underfunded,,,,,,,11.0,11.0,8.0,9.0,Balance Sheet
Other LT Liabilities,,,,,,,82.0,80.0,79.0,117.0,Balance Sheet
"Other Liabilities, Total",,,,,,,98.0,96.0,92.0,134.0,Balance Sheet
Total Liabilities,,,,,,,1594.0,2221.0,2287.0,2861.0,Balance Sheet
Common Stock,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,,,,1778.0,1974.0,2004.0,1596.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,,,,238.0,-61.0,-129.0,-70.0,Balance Sheet
Unrealized Gain (Loss),,,,,,,-2.0,-9.0,-10.0,-11.0,Balance Sheet
Cum. Trans. Adjustment,,,,,,,10.0,10.0,10.0,10.0,Balance Sheet
Min. Pension Lblty Adj.,,,,,,,-1.0,-2.0,1.0,1.0,Balance Sheet
"Other Equity, Total",,,,,,,8.0,8.0,11.0,11.0,Balance Sheet
Total Equity,,,,,,,2022.0,1912.0,1875.0,1526.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,,,,3616.0,4134.0,4162.0,4387.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,,,,72.0,69.0,68.0,68.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,,,,2022-01-01 00:00:00,2022-04-02 00:00:00,2022-07-02 00:00:00,2022-10-01 00:00:00,Income Statement
Total Revenue,,,,,,,447.0,395.0,422.0,507.0,Income Statement
"Cost of Revenue, Total",,,,,,,239.0,228.0,240.0,306.0,Income Statement
Selling/Gen/Admin Expense,,,,,,,47.0,46.0,48.0,65.0,Income Statement
Labor & Related Expense,,,,,,,17.0,13.0,16.0,32.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,,,,63.0,58.0,64.0,96.0,Income Statement
Research & Development,,,,,,,53.0,57.0,57.0,73.0,Income Statement
Depreciation/Amortization,,,,,,,6.0,6.0,6.0,9.0,Income Statement
Restructuring Charge,,,,,,,0.0,0.0,0.0,9.0,Income Statement
Impair-Assets Held for Use,,,,,,,,,0.0,,Income Statement
Other Unusual Expnse (In),,,,,,,,0.0,0.0,,Income Statement
Unusual Expense (Income),,,,,,,0.0,0.0,0.0,9.0,Income Statement
Total Operating Expense,,,,,,,362.0,349.0,367.0,493.0,Income Statement
Total Operating Income,,,,,,,85.0,47.0,55.0,14.0,Income Statement
"Inter Expse,Net Non-Operat",,,,,,,-17.0,-20.0,-27.0,-9.0,Income Statement
"Inter Income, Non-Operating",,,,,,,1.0,1.0,4.0,5.0,Income Statement
"Invest Income, Non-Operat",,,,,,,1.0,1.0,4.0,9.0,Income Statement
"Inter/Invest Inc, Non-Oper",,,,,,,1.0,2.0,8.0,14.0,Income Statement
OtherNon-OperatInc (Expnse),,,,,,,0.0,0.0,0.0,0.0,Income Statement
"Other, Net",,,,,,,0.0,0.0,0.0,0.0,Income Statement
