,LITE
% Above Low,0.0263
% Held by Institutions,1.0007
52-Wk Range,['54.40 - 108.90']
Annual Dividend $,
Annual Dividend %,
Ask,74.99
Ask Size,100.0
Ask close,59.71
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,47.0
Bid Size,100.0
Bid close,52.81
Change Since Close,0.00| |(0.00%)
Closing Price,55.83
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.58
Ex-dividend Date,No dividend
Historical Volatility,0.45
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,55.83
Market Cap,3.8B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",35.3
Prev Close,55.83
Short Interest,0.09140000000000001
Today's Open,
Volume,2.0
Volume 10-day Avg,1275557.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.148972602739726
Growth 1yr High Est,-0.07190635451505023
Growth 1yr Consensus Est,-0.11043947862738812
Growth 2yr Low Est,-0.036256925112317706
Growth 2yr High Est,0.049632408328060484
Growth 2yr Consensus Est,0.006687741607871389
Growth 5yr Low Est,-0.04097345142989206
Growth 5yr High Est,0.0171647053397261
Growth 5yr Consensus Est,-0.01190437304508298
Growth 5yr Actual/Est,0.03467136608083987
Growth 3yr Historic,0.030750551166367435
Price/Earnings (TTM),35.30371
Price/Sales (TTM),2.14998
Price/Book (MRQ),2.4945
Price/Cash Flow (TTM),12.73021
5yr Low,37.0
5yr High,112.08
5yr Avg Return,0.07141666666666667
EPS Growth 5yr,
Revenue Growth 5yr,0.11324899999999999
Dividend Growth 5yr,
Short Int Current Month,6200794.0
Short Int Prev Month,7346610.0
Short Int Pct of Float,0.0914185
Days to Cover,3.20414
Float,67.84988
Shares Outstanding,68.2
Institutions Holding Shares,574.0
FCF Growth 5yr,-0.14718055739101063
"Price/Earnings (TTM, GAAP)",35.3
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4278
Operating Profit Margin (TTM),0.1134
Net Profit Margin (TTM),0.0661
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.0121
EPS Growth (TTM),-0.6997
Revenue Growth (MRQ),0.20070000000000002
Revenue Growth (TTM),0.018500000000000003
Return On Equity (TTM),0.0669
Return On Assets (TTM),0.0296
Return On Investment (TTM),0.036000000000000004
Revenue Per Employee (TTM),259868.0
Total Debt/Total Capital (MRQ),0.6031000000000001
Change in Debt/Total Capital Quarter over Quarter,0.005600000000000001
Quick Ratio (MRQ),2.58
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-11-09 00:00:00
theStreet since,2022-11-09 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-03-04 00:00:00
ford since,2022-09-23 00:00:00
marketEdge opinion since,
