,ACHR
% Above Low,0.0913
% Held by Institutions,0.3871
52-Wk Range,['2.30 - 7.81']
Annual Dividend $,
Annual Dividend %,
Ask,2.57
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,
Bid,2.33
Bid Size,100.0
Closing Price,2.51
Day Change $,0.02
Day Change %,0.008
Day High,2.52
Day Low,2.44
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.11
Ex-dividend Date,No dividend
Historical Volatility,0.895
Last (size),20.0
Last (time),5:00p ET 11/25/22
Market Cap,610.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.49
Short Interest,0.0907
Today's Open,2.45
Volume,321139.0
Volume 10-day Avg,1429122.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-13 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.8478260869565215
Growth 2yr High Est,0.012048192771084265
Growth 2yr Consensus Est,0.4299371398638029
Growth 5yr Low Est,0.8478260869565215
Growth 5yr High Est,0.012048192771084265
Growth 5yr Consensus Est,0.4299371398638029
Growth 5yr Actual/Est,0.11613636363636365
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),1.07478
Price/Cash Flow (TTM),
5yr Low,2.3
5yr High,18.6
5yr Avg Return,-0.3310333333333333
Short Int Current Month,11777960.0
Short Int Prev Month,11965247.0
Short Int Pct of Float,0.09065
Days to Cover,9.33712
Float,129.864
Shares Outstanding,243.2948
Institutions Holding Shares,139.0
FCF Growth 5yr,0.39358813700918976
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),
Net Profit Margin (TTM),
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.25780000000000003
EPS Growth (TTM),0.2461
Revenue Growth (MRQ),
Revenue Growth (TTM),
Return On Equity (TTM),-0.4147
Return On Assets (TTM),-0.3675
Return On Investment (TTM),-0.3872
Revenue Per Employee (TTM),0.0
Total Debt/Total Capital (MRQ),0.0206
Change in Debt/Total Capital Quarter over Quarter,-0.0021
Quick Ratio (MRQ),
Interest Coverage (MRQ),
ford,rating-box
cfra,
newConstructs,rating-box
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-10-14 00:00:00
cfra since,
newConstructs since,
theStreet since,
researchTeam since,
marketEdge opinion since,
