,2020,2021,2022,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Report
high,11.82,18.6,6.35,,,,,
low,9.73,5.2,2.3,,,,,
change,-0.0089,-0.4025,-0.5817,,,,,
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Balance Sheet
Cash & Equivalents,,,,747.0,704.0,655.0,113.0,Balance Sheet
Short Term Investments,,,,,,,488.0,Balance Sheet
Cash and Short Term Invs,,,,747.0,704.0,655.0,601.0,Balance Sheet
Prepaid Expenses,,,,8.0,9.0,10.0,11.0,Balance Sheet
Restricted Cash - Current,,,,,3.0,3.0,3.0,Balance Sheet
Other Current Assets,,,,0.0,0.0,1.0,1.0,Balance Sheet
"Other Curr. Assets, Total",,,,0.0,3.0,4.0,4.0,Balance Sheet
Total Current Assets,,,,755.0,717.0,669.0,615.0,Balance Sheet
Buildings,,,,1.0,1.0,3.0,3.0,Balance Sheet
Machinery/Equipment,,,,3.0,3.0,5.0,5.0,Balance Sheet
Construction in Progress,,,,,0.0,1.0,4.0,Balance Sheet
Other Prop./Plant/Equip.,,,,8.0,16.0,14.0,13.0,Balance Sheet
Prop./Plant/Equip. - Gross,,,,12.0,21.0,23.0,24.0,Balance Sheet
Accumulated Depreciation,,,,-1.0,-2.0,-3.0,-3.0,Balance Sheet
Prop./Plant/Equip. - Net,,,,10.0,19.0,20.0,21.0,Balance Sheet
Intangibles - Gross,,,,1.0,,,,Balance Sheet
Accum. Intangible Amort.,,,,0.0,,,,Balance Sheet
Intangibles - Net,,,,1.0,0.0,0.0,0.0,Balance Sheet
Other Long Term Assets,,,,3.0,2.0,1.0,1.0,Balance Sheet
Total Assets,,,,768.0,738.0,691.0,638.0,Balance Sheet
Accounts Payable,,,,3.0,2.0,2.0,5.0,Balance Sheet
Accrued Expenses,,,,15.0,23.0,32.0,29.0,Balance Sheet
Notes Payable/ST Debt,,,,0.0,0.0,0.0,0.0,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,,,,10.0,10.0,9.0,9.0,Balance Sheet
Total Current Liabilities,,,,28.0,34.0,44.0,44.0,Balance Sheet
Total Long Term Debt,,,,9.0,7.0,5.0,2.0,Balance Sheet
Total Debt,,,,19.0,17.0,14.0,12.0,Balance Sheet
"Other Liabilities, Total",,,,32.0,33.0,25.0,34.0,Balance Sheet
Total Liabilities,,,,70.0,74.0,73.0,80.0,Balance Sheet
Common Stock,,,,0.0,0.0,0.0,0.0,Balance Sheet
Additional Paid-In Capital,,,,1073.0,1097.0,1123.0,1154.0,Balance Sheet
Ret. Earn.(Accum. Deficit),,,,-374.0,-433.0,-505.0,-596.0,Balance Sheet
Other Equity,,,,0.0,0.0,0.0,0.0,Balance Sheet
Other Comprehensive Income,,,,,,,-1.0,Balance Sheet
"Other Equity, Total",,,,0.0,0.0,0.0,-1.0,Balance Sheet
Total Equity,,,,699.0,664.0,618.0,557.0,Balance Sheet
Total Liabilities & Shareholders’ Equity,,,,768.0,738.0,691.0,638.0,Balance Sheet
Shr Outs.-Com. Primary Iss.,,,,163.0,165.0,171.0,174.0,Balance Sheet
Shr Outs.-Com. Stk. Iss. 2,,,,75.0,74.0,66.0,65.0,Balance Sheet
Ttl Comm. Shares Outs.,,,,238.0,239.0,236.0,239.0,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,,,,0.0,0.0,0.0,0.0,Balance Sheet
Trsy. Shrs-Comm. Iss. 2,,,,0.0,0.0,0.0,0.0,Balance Sheet
Date,,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,Income Statement
Total Revenue,,,,0.0,0.0,0.0,0.0,Income Statement
Selling/Gen/Admin Expense,,,,16092.0,18500.0,23500.0,21100.0,Income Statement
Labor & Related Expense,,,,17400.0,19100.0,18700.0,19500.0,Income Statement
"Sell/Gen/AdminExpenses,Tot",,,,33492.0,37600.0,42200.0,40600.0,Income Statement
Research & Development,,,,19300.0,27100.0,37300.0,46200.0,Income Statement
Depreciation,,,,500.0,600.0,700.0,1000.0,Income Statement
Amortiz of Intangibles,,,,8.0,,,,Income Statement
Depreciation/Amortization,,,,508.0,600.0,700.0,1000.0,Income Statement
Unusual Expense (Income),,,,0.0,,0.0,0.0,Income Statement
"Other Operat Expse, Total",,,,0.0,0.0,0.0,6000.0,Income Statement
Total Operating Expense,,,,53300.0,65300.0,80200.0,93800.0,Income Statement
Total Operating Income,,,,-53300.0,-65300.0,-80200.0,-93800.0,Income Statement
"Inter Inc(Exp),Net Non-Oper",,,,,,500.0,1500.0,Income Statement
"Other, Net",,,,10500.0,6500.0,8000.0,1300.0,Income Statement
Income Before Tax,,,,-43300.0,-59200.0,-71700.0,-91000.0,Income Statement
Income After Tax,,,,-43300.0,-59200.0,-71700.0,-91000.0,Income Statement
Net Inc Before Extra Items,,,,-43300.0,-59200.0,-71700.0,-91000.0,Income Statement
Total Net Income,,,,-43300.0,-59200.0,-71700.0,-91000.0,Income Statement
