,BIRD
% Above Low,0.132
% Held by Institutions,0.5159
52-Wk Range,['2.50 - 20.34']
Annual Dividend $,
Annual Dividend %,
Ask,2.9
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,2.83
Bid Size,100.0
Closing Price,2.83
Day Change $,0.04
Day Change %,0.0143
Day High,2.88
Day Low,2.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.59
Ex-dividend Date,No dividend
Historical Volatility,0.871
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,422.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.79
Short Interest,0.0851
Today's Open,2.8
Volume,475238.0
Volume 10-day Avg,1875026.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.1466666666666666
Growth 1yr High Est,-0.14516129032258063
Growth 1yr Consensus Est,-0.14591397849462362
Growth 2yr Low Est,-0.1436458333333333
Growth 2yr High Est,-0.289561777236762
Growth 2yr Consensus Est,-0.21660380528504766
Growth 5yr Low Est,-0.1436458333333333
Growth 5yr High Est,-0.289561777236762
Growth 5yr Consensus Est,-0.21660380528504766
Growth 5yr Actual/Est,-0.17692307692307696
Growth 3yr Historic,0.0
Price/Earnings (TTM),
Price/Sales (TTM),1.35991
Price/Book (MRQ),1.27168
Price/Cash Flow (TTM),
5yr Low,2.5
5yr High,32.44
5yr Avg Return,-0.5531999999999999
Short Int Current Month,8129687.0
Short Int Prev Month,9441625.0
Short Int Pct of Float,0.08514300000000001
Days to Cover,3.91657
Float,95.46764
Shares Outstanding,149.3531
Institutions Holding Shares,186.0
FCF Growth 5yr,0.21101774384591832
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.4572
Operating Profit Margin (TTM),-0.2613
Net Profit Margin (TTM),-0.2797
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1441
EPS Growth (TTM),-0.9431
Revenue Growth (MRQ),-0.0707
Revenue Growth (TTM),0.19760000000000003
Return On Equity (TTM),-0.6143
Return On Assets (TTM),-0.2621
Return On Investment (TTM),-0.3301
Revenue Per Employee (TTM),437756.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,-0.01
Quick Ratio (MRQ),3.54
Interest Coverage (MRQ),-728.97
ford,rating-box
newConstructs,rating-box
cfra,
theStreet,rating-box
researchTeam,rating-box
marketEdge opinion,
ford since,2022-11-11 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
theStreet since,
researchTeam since,
marketEdge opinion since,
