,ANIK
% Above Low,0.5207
% Held by Institutions,0.8795000000000001
52-Wk Range,['19.95 - 41.19']
Annual Dividend $,
Annual Dividend %,
Ask,48.72
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.0
Bid,30.32
Bid Size,300.0
Closing Price,30.34
Day Change $,-0.11
Day Change %,-0.0036
Day High,30.92
Day Low,30.08
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.09
Ex-dividend Date,No dividend
Historical Volatility,0.44
Last (size),7.0
Last (time),12:59p ET 11/25/22
Market Cap,445.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,30.45
Short Interest,0.0668
Today's Open,30.67
Volume,16356.0
Volume 10-day Avg,89655.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-03-07 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.4591836734693877
Growth 2yr High Est,-0.5340909090909092
Growth 2yr Consensus Est,-0.49663729128014844
Growth 5yr Low Est,-0.4591836734693877
Growth 5yr High Est,-0.5340909090909092
Growth 5yr Consensus Est,-0.49663729128014844
Growth 5yr Actual/Est,-1.9532414894036967
Growth 3yr Historic,-0.7649650918881687
Price/Earnings (TTM),
Price/Sales (TTM),2.90785
Price/Book (MRQ),1.55535
Price/Cash Flow (TTM),
5yr Low,19.95
5yr High,75.72
5yr Avg Return,-0.05466666666666666
EPS Growth 5yr,-0.33382890000000004
Revenue Growth 5yr,0.07410040000000001
Dividend Growth 5yr,
Short Int Current Month,957143.0
Short Int Prev Month,987086.0
Short Int Pct of Float,0.0668132
Days to Cover,8.0552
Float,14.32716
Shares Outstanding,14.60967
Institutions Holding Shares,184.0
FCF Growth 5yr,-0.9461643449527605
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5745
Operating Profit Margin (TTM),-0.1434
Net Profit Margin (TTM),-0.1033
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.4637
EPS Growth (TTM),-1.615
Revenue Growth (MRQ),0.015300000000000001
Revenue Growth (TTM),0.053700000000000005
Return On Equity (TTM),-0.05480000000000001
Return On Assets (TTM),-0.0449
Return On Investment (TTM),-0.0488
Revenue Per Employee (TTM),513249.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),4.95
Interest Coverage (MRQ),
newConstructs,rating-box
researchTeam,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
newConstructs since,2022-11-26 00:00:00
researchTeam since,2021-07-16 00:00:00
ford since,2022-09-09 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-01-24 00:00:00
