,ANIK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,471.78,Valuation,
Price/Sales (TTM),2.91,45.03,Valuation,0.06462358427714857
Price/Book (MRQ),1.56,12.61,Valuation,0.12371134020618557
"PEG Ratio (TTM, GAAP)",,173.15,Valuation,
Gross Profit Margin (TTM),0.5745,0.5874,Profitability,0.9780388151174668
Operating Profit Margin (TTM),-0.1434,-4.7459,Profitability,0.030215554478602583
Net Profit Margin (TTM),-0.1033,-4.5467,Profitability,0.02271977478170981
Annual Dividend Yield,,0.0144,Dividend,
Dividend Change %,,0.0382,Dividend,
"Dividend Growth Rate, 3 Years",,0.047599999999999996,Dividend,
EPS Growth (MRQ),-0.4637,-0.0014000000000000002,Gowth rates,331.21428571428567
EPS Growth (TTM),-1.615,0.027200000000000002,Gowth rates,-59.37499999999999
Revenue Growth (MRQ),0.015300000000000001,1.3963999999999999,Gowth rates,0.010956745918075052
Revenue Growth (TTM),0.053700000000000005,0.9747,Gowth rates,0.05509387503847338
Return On Equity (TTM),-0.05480000000000001,0.1967,Effectiveness,-0.2785968479918658
Return On Assets (TTM),-0.0449,0.0016,Effectiveness,-28.0625
Return On Investment (TTM),-0.0488,0.0219,Effectiveness,-2.2283105022831053
Revenue Per Employee (TTM),513249.0,1476201.0,Effectiveness,0.3476823278130824
Total Debt/Total Capital (MRQ),0.0,0.4675,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0036,Financial strength,
Quick Ratio (MRQ),4.95,2.06,Financial strength,2.4029126213592233
Interest Coverage (MRQ),,2.69,Financial strength,
