,NMRK
Next Earnings Announcement,2023-02-10 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.03289473684210531
Growth 1yr High Est,-0.05590062111801242
Growth 1yr Consensus Est,-0.04439767898005886
Growth 2yr Low Est,-0.1082841031149302
Growth 2yr High Est,0.03126021575678328
Growth 2yr Consensus Est,-0.03851194367907346
Growth 5yr Low Est,-0.06957415032289721
Growth 5yr High Est,0.005213441211725012
Growth 5yr Consensus Est,-0.0321803545555861
Growth 5yr Actual/Est,0.05480147051777215
Growth 3yr Historic,0.0843787335722819
