,NMRK,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",7.31,-128.31,Valuation,-0.05697139739692931
Price/Sales (TTM),0.47,1.78,Valuation,0.2640449438202247
Price/Book (MRQ),1.25,2.29,Valuation,0.5458515283842794
"PEG Ratio (TTM, GAAP)",,-1.83,Valuation,
Gross Profit Margin (TTM),0.9913,0.2696,Profitability,3.676928783382789
Operating Profit Margin (TTM),0.1262,-0.2328,Profitability,-0.5420962199312714
Net Profit Margin (TTM),0.0926,-0.1213,Profitability,-0.763396537510305
Annual Dividend Yield,0.014199999999999999,0.0044,Dividend,3.227272727272727
Dividend Change %,-0.6923,0.0943,Dividend,-7.341463414634147
"Dividend Growth Rate, 3 Years",-0.47090000000000004,-0.0072,Dividend,65.40277777777779
EPS Growth (MRQ),-0.3911,1.0171,Gowth rates,-0.3845246288467211
EPS Growth (TTM),-0.6058,0.7006,Gowth rates,-0.8646874107907508
Revenue Growth (MRQ),-0.1201,0.16149999999999998,Gowth rates,-0.7436532507739939
Revenue Growth (TTM),0.22160000000000002,0.44439999999999996,Gowth rates,0.4986498649864987
Return On Equity (TTM),0.18739999999999998,0.0932,Effectiveness,2.0107296137339055
Return On Assets (TTM),0.0567,0.0415,Effectiveness,1.3662650602409638
Return On Investment (TTM),0.1107,0.0722,Effectiveness,1.533240997229917
Revenue Per Employee (TTM),497211.0,1051798.0,Effectiveness,0.47272480076972956
Total Debt/Total Capital (MRQ),0.5102,0.5311,Financial strength,0.9606477122952363
Change in Debt/Total Capital Quarter over Quarter,-0.0006,-0.0005,Financial strength,1.2
Quick Ratio (MRQ),,0.08,Financial strength,
Interest Coverage (MRQ),9.56,3.44,Financial strength,2.7790697674418605
