,NMRK
% Above Low,0.1396
% Held by Institutions,0.6485
52-Wk Range,['7.42 - 19.10']
Annual Dividend $,0.12
Annual Dividend %,0.014199999999999999
Ask,8.79
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.8
Bid,8.0
Bid Size,400.0
Closing Price,8.45
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",1.16
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.504
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.31
Prev Close,8.45
Short Interest,0.021400000000000002
Today's Open,
Volume,342095.0
Volume 10-day Avg,877970.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-10 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.03289473684210531
Growth 1yr High Est,-0.05590062111801242
Growth 1yr Consensus Est,-0.04439767898005886
Growth 2yr Low Est,-0.1082841031149302
Growth 2yr High Est,0.03126021575678328
Growth 2yr Consensus Est,-0.03851194367907346
Growth 5yr Low Est,-0.06957415032289721
Growth 5yr High Est,0.005213441211725012
Growth 5yr Consensus Est,-0.0321803545555861
Growth 5yr Actual/Est,0.05480147051777215
Growth 3yr Historic,0.0843787335722819
Price/Earnings (TTM),7.31057
Price/Sales (TTM),0.47103
Price/Book (MRQ),1.25396
Price/Cash Flow (TTM),3.96567
5yr Low,2.49
5yr High,19.1
5yr Avg Return,0.15380000000000002
EPS Growth 5yr,0.2885592
Revenue Growth 5yr,0.1657534
Dividend Growth 5yr,
Short Int Current Month,2952177.0
Short Int Prev Month,4077545.0
Short Int Pct of Float,0.021411799999999998
Days to Cover,2.32985
Float,137.8761
Shares Outstanding,171.8399
Institutions Holding Shares,275.0
FCF Growth 5yr,-2.9309591127104575
"Price/Earnings (TTM, GAAP)",7.31
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.9913
Operating Profit Margin (TTM),0.1262
Net Profit Margin (TTM),0.0926
Annual Dividend Yield,0.014199999999999999
Dividend Change %,-0.6923
"Dividend Growth Rate, 3 Years",-0.47090000000000004
EPS Growth (MRQ),-0.3911
EPS Growth (TTM),-0.6058
Revenue Growth (MRQ),-0.1201
Revenue Growth (TTM),0.22160000000000002
Return On Equity (TTM),0.18739999999999998
Return On Assets (TTM),0.0567
Return On Investment (TTM),0.1107
Revenue Per Employee (TTM),497211.0
Total Debt/Total Capital (MRQ),0.5102
Change in Debt/Total Capital Quarter over Quarter,-0.0006
Quick Ratio (MRQ),
Interest Coverage (MRQ),9.56
newConstructs,rating-box
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
newConstructs since,2022-11-28 00:00:00
researchTeam since,2022-09-09 00:00:00
theStreet since,2022-10-12 00:00:00
ford since,2022-09-09 00:00:00
cfra since,
marketEdge opinion since,
