,INT
% Below High,0.0365
% Held by Institutions,0.9334
52-Wk Range,['19.29 - 29.28']
Annual Dividend $,0.56
Annual Dividend %,0.0199
Ask,30.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.3
Bid,21.0
Bid Size,200.0
Closing Price,28.21
Day Change $,0.12
Day Change %,0.0043
Day High,28.56
Day Low,28.0
Dividend Pay Date,2022-10-07 00:00:00
"EPS (TTM, GAAP)",1.73
Ex-dividend,2022-09-22 00:00:00
Ex-dividend Date,09/22/22
Historical Volatility,0.45799999999999996
Last (size),29.0
Last (time),5:00p ET 11/25/22
Market Cap,1.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.26
Prev Close,28.09
Short Interest,0.0232
Today's Open,28.01
Volume,154302.0
Volume 10-day Avg,302414.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,0.47727272727272707
Growth 1yr High Est,0.4888888888888887
Growth 1yr Consensus Est,0.4830808080808079
Growth 2yr Low Est,0.2642773892773892
Growth 2yr High Est,0.4235489220563847
Growth 2yr Consensus Est,0.34391315566688696
Growth 5yr Low Est,0.2642773892773892
Growth 5yr High Est,0.4235489220563847
Growth 5yr Consensus Est,0.34391315566688696
Growth 5yr Actual/Est,0.0644370338980933
Growth 3yr Historic,-0.1013012311048776
Price/Earnings (TTM),16.26424
Price/Sales (TTM),0.0317
Price/Book (MRQ),0.90024
Price/Cash Flow (TTM),8.26662
5yr Low,18.36
5yr High,44.37
5yr Avg Return,0.07621666666666667
EPS Growth 5yr,-0.0846946
Revenue Growth 5yr,0.0301202
Dividend Growth 5yr,0.19300799999999999
Short Int Current Month,1385745.0
Short Int Prev Month,1677783.0
Short Int Pct of Float,0.0231864
Days to Cover,3.75183
Float,59.82465
Shares Outstanding,61.91908
Institutions Holding Shares,307.0
FCF Growth 5yr,-1.831153222650791
"Price/Earnings (TTM, GAAP)",16.26
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.018500000000000003
Operating Profit Margin (TTM),0.0040999999999999995
Net Profit Margin (TTM),0.002
Annual Dividend Yield,0.0199
Dividend Change %,0.45
"Dividend Growth Rate, 3 Years",0.342
EPS Growth (MRQ),0.7445999999999999
EPS Growth (TTM),1.016
Revenue Growth (MRQ),-0.0853
Revenue Growth (TTM),1.1117000000000001
Return On Equity (TTM),0.0563
Return On Assets (TTM),0.0163
Return On Investment (TTM),0.0354
Revenue Per Employee (TTM),12484870.0
Total Debt/Total Capital (MRQ),0.2672
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),0.95
Interest Coverage (MRQ),2.93
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-11-10 00:00:00
researchTeam since,2022-11-10 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
