,WOR
% Below High,0.1112
% Held by Institutions,0.45899999999999996
52-Wk Range,['38.01 - 62.83']
Annual Dividend $,1.24
Annual Dividend %,0.0219
Ask,57.29
Ask Size,600.0
B/A Ratio,0.16666666666666666
B/A Size,100x600
Beta,1.2
Bid,54.28
Bid Size,100.0
Closing Price,55.84
Day Change $,-0.83
Day Change %,-0.0146
Day High,56.51
Day Low,55.34
Dividend Pay Date,2022-12-29 00:00:00
"EPS (TTM, GAAP)",6.17
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.47000000000000003
Last (size),97.0
Last (time),7:00p ET 11/28/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.19
Prev Close,56.67
Short Interest,0.053399999999999996
Today's Open,56.32
Volume,152656.0
Volume 10-day Avg,154998.0
Volume Past Day,(Average)
Next Earnings Announcement,2022-12-15 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.0670103092783505
Growth 2yr High Est,0.009732360097323589
Growth 2yr Consensus Est,0.038371334687837044
Growth 5yr Low Est,0.0670103092783505
Growth 5yr High Est,0.009732360097323589
Growth 5yr Consensus Est,0.038371334687837044
Growth 5yr Actual/Est,0.3030823684233769
Growth 3yr Historic,0.4073460670535139
Price/Earnings (TTM),9.18756
Price/Sales (TTM),0.5085
Price/Book (MRQ),1.81804
Price/Cash Flow (TTM),6.58523
5yr Low,19.28
5yr High,75.45
5yr Avg Return,0.06124999999999999
EPS Growth 5yr,0.1873619
Revenue Growth 5yr,0.11704650000000001
Dividend Growth 5yr,0.0723046
Short Int Current Month,1626454.0
Short Int Prev Month,1763051.0
Short Int Pct of Float,0.0533812
Days to Cover,9.55911
Float,30.49324
Shares Outstanding,49.71133
Institutions Holding Shares,285.0
FCF Growth 5yr,-1.493571382580461
"Price/Earnings (TTM, GAAP)",9.19
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.12
Operating Profit Margin (TTM),0.047
Net Profit Margin (TTM),0.058300000000000005
Annual Dividend Yield,0.0219
Dividend Change %,0.1313
"Dividend Growth Rate, 3 Years",0.1752
EPS Growth (MRQ),-0.1868
EPS Growth (TTM),0.35479999999999995
Revenue Growth (MRQ),-0.0734
Revenue Growth (TTM),0.5478000000000001
Return On Equity (TTM),0.2097
Return On Assets (TTM),0.09150000000000001
Return On Investment (TTM),0.1261
Revenue Per Employee (TTM),659532.0
Total Debt/Total Capital (MRQ),0.3
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),1.25
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-09-09 00:00:00
theStreet since,2020-09-24 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-09-09 00:00:00
cfra since,
marketEdge opinion since,
