,VBTX
% Above Low,0.2211
% Held by Institutions,0.8845999999999999
52-Wk Range,['26.14 - 43.33']
Annual Dividend $,0.8
Annual Dividend %,0.024399999999999998
Ask,32.33
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,31.76
Bid Size,100.0
Closing Price,31.92
Day Change $,-0.81
Day Change %,-0.024700000000000003
Day High,32.56
Day Low,31.76
Dividend Pay Date,2022-11-25 00:00:00
"EPS (TTM, GAAP)",2.8
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.342
Last (size),3.0
Last (time),3:59p ET 11/28/22
Market Cap,1.7B
"P/E Ratio (TTM, GAAP)",11.68
Prev Close,32.73
Short Interest,0.029500000000000002
Today's Open,32.55
Volume,169821.0
Volume 10-day Avg,189212.0
Volume Past Day,(Average)
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.09125475285171114
Growth 1yr High Est,0.07806691449814118
Growth 1yr Consensus Est,0.08466083367492616
Growth 2yr Low Est,0.17280507677428758
Growth 2yr High Est,0.18558518138700164
Growth 2yr Consensus Est,0.1791951290806446
Growth 5yr Low Est,0.20445254146236366
Growth 5yr High Est,0.20207013003541782
Growth 5yr Consensus Est,0.20326133574889074
Growth 5yr Actual/Est,0.20929045810513958
Growth 3yr Historic,0.13285583618553048
Price/Earnings (TTM),11.67894
Price/Sales (TTM),4.53289
Price/Book (MRQ),1.25143
Price/Cash Flow (TTM),10.66868
5yr Low,10.02
5yr High,45.36
5yr Avg Return,0.06381666666666665
EPS Growth 5yr,0.1955368
Revenue Growth 5yr,0.46690669999999995
Dividend Growth 5yr,
Short Int Current Month,1541581.0
Short Int Prev Month,1404555.0
Short Int Pct of Float,0.0295235
Days to Cover,5.94521
Float,52.22313
Shares Outstanding,54.00512
Institutions Holding Shares,289.0
FCF Growth 5yr,0.10907250306092069
"Price/Earnings (TTM, GAAP)",11.68
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.4797
Net Profit Margin (TTM),0.3793
Annual Dividend Yield,0.0244
Dividend Change %,0.0882
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.4626
EPS Growth (TTM),0.16149999999999998
Revenue Growth (MRQ),0.3166
Revenue Growth (TTM),0.2338
Return On Equity (TTM),0.1097
Return On Assets (TTM),0.0139
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0029
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2022-10-28 00:00:00
theStreet since,2020-12-23 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
