,KMI
% Below High,0.07769999999999999
% Held by Institutions,0.6009
52-Wk Range,['15.01 - 20.20']
Annual Dividend $,1.11
Annual Dividend %,0.0596
Ask,18.7
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,18.6
Bid Size,100.0
Closing Price,18.63
Day Change $,-0.02
Day Change %,-0.0011
Day High,18.78
Day Low,18.59
Dividend Pay Date,2022-11-15 00:00:00
"EPS (TTM, GAAP)",1.1
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.276
Last (size),15.0
Last (time),5:00p ET 11/25/22
Market Cap,41.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.86
Prev Close,18.65
Short Interest,0.02
Today's Open,18.7
Volume,5981404.0
Volume 10-day Avg,13958703.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-01-18 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.10569105691056901
Growth 1yr High Est,-0.09352517985611508
Growth 1yr Consensus Est,-0.09960811838334205
Growth 2yr Low Est,-0.08011825572801179
Growth 2yr High Est,-0.07057211373758138
Growth 2yr Consensus Est,-0.07534518473279658
Growth 5yr Low Est,0.09900362289831155
Growth 5yr High Est,0.07766338133345646
Growth 5yr Consensus Est,0.08833350211588399
Growth 5yr Actual/Est,0.06981039982401141
Growth 3yr Historic,0.10657894736842105
Price/Earnings (TTM),16.86293
Price/Sales (TTM),2.19865
Price/Book (MRQ),1.36274
Price/Cash Flow (TTM),8.80106
5yr Low,9.42
5yr High,22.58
5yr Avg Return,0.04333333333333333
EPS Growth 5yr,0.2583947
Revenue Growth 5yr,0.0492974
Dividend Growth 5yr,0.1648915
Short Int Current Month,39269716.0
Short Int Prev Month,40511920.0
Short Int Pct of Float,0.0199979
Days to Cover,2.34246
Float,1963.989
Shares Outstanding,2247.742
Institutions Holding Shares,1614.0
FCF Growth 5yr,0.4026364184165471
"Price/Earnings (TTM, GAAP)",16.86
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3751
Operating Profit Margin (TTM),0.2053
Net Profit Margin (TTM),0.1358
Annual Dividend Yield,0.0596
Dividend Change %,0.0337
"Dividend Growth Rate, 3 Years",0.1394
EPS Growth (MRQ),-0.0916
EPS Growth (TTM),0.44079999999999997
Revenue Growth (MRQ),0.005
Revenue Growth (TTM),0.24480000000000002
Return On Equity (TTM),0.0816
Return On Assets (TTM),0.037000000000000005
Return On Investment (TTM),0.041299999999999996
Revenue Per Employee (TTM),1808909.0
Total Debt/Total Capital (MRQ),0.4969
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),0.5
Interest Coverage (MRQ),4.52
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
researchTeam since,2022-08-20 00:00:00
theStreet since,2021-04-22 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2021-01-21 00:00:00
ford since,2022-07-22 00:00:00
marketEdge opinion since,
