,KMI
Price/Earnings (TTM),16.86293
Price/Sales (TTM),2.19865
Price/Book (MRQ),1.36274
Price/Cash Flow (TTM),8.80106
5yr Low,9.42
5yr High,22.58
5yr Avg Return,0.04333333333333333
EPS Growth 5yr,0.2583947
Revenue Growth 5yr,0.0492974
Dividend Growth 5yr,0.1648915
Short Int Current Month,39269716.0
Short Int Prev Month,40511920.0
Short Int Pct of Float,0.0199979
Days to Cover,2.34246
Float,1963.989
Shares Outstanding,2247.742
Institutions Holding Shares,1614.0
% Held by Institutions,0.600862
FCF Growth 5yr,0.4026364184165471
