,ACIW
% Above Low,0.062000000000000006
% Held by Institutions,0.985
52-Wk Range,['19.68 - 35.87']
Annual Dividend $,
Annual Dividend %,
Ask,23.79
Ask Size,200.0
B/A Ratio,6.0
B/A Size,1200x200
Beta,1.1
Bid,20.0
Bid Size,1200.0
Closing Price,20.9
Day Change $,0.26
Day Change %,0.0126
Day High,21.22
Day Low,20.49
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.38
Ex-dividend Date,No dividend
Historical Volatility,0.40399999999999997
Last (size),49.0
Last (time),12:59p ET 11/25/22
Market Cap,2.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.17
Prev Close,20.64
Short Interest,0.0246
Today's Open,20.59
Volume,403026.0
Volume 10-day Avg,1126819.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,0.2222222222222221
Growth 1yr High Est,0.23478260869565215
Growth 1yr Consensus Est,0.22850241545893712
Growth 2yr Low Est,0.06565656565656558
Growth 2yr High Est,0.12443355786895283
Growth 2yr Consensus Est,0.0950450617627592
Growth 5yr Low Est,0.06565656565656558
Growth 5yr High Est,0.12443355786895283
Growth 5yr Consensus Est,0.0950450617627592
Growth 5yr Actual/Est,0.26065443626988627
Growth 3yr Historic,0.20741369552914551
Price/Earnings (TTM),15.16658
Price/Sales (TTM),1.63448
Price/Book (MRQ),1.97453
Price/Cash Flow (TTM),8.08987
5yr Low,19.68
5yr High,43.23
5yr Avg Return,0.01426666666666667
EPS Growth 5yr,-0.002371
Revenue Growth 5yr,0.0638692
Dividend Growth 5yr,
Short Int Current Month,2732511.0
Short Int Prev Month,3286517.0
Short Int Pct of Float,0.024597099999999997
Days to Cover,1.94772
Float,111.1683
Shares Outstanding,112.3741
Institutions Holding Shares,364.0
FCF Growth 5yr,0.3826412341115315
"Price/Earnings (TTM, GAAP)",15.17
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5272
Operating Profit Margin (TTM),0.152
Net Profit Margin (TTM),0.11230000000000001
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.7456
EPS Growth (TTM),0.9229
Revenue Growth (MRQ),-0.0994
Revenue Growth (TTM),0.11320000000000001
Return On Equity (TTM),0.1349
Return On Assets (TTM),0.0501
Return On Investment (TTM),0.0695
Revenue Per Employee (TTM),398040.0
Total Debt/Total Capital (MRQ),0.457
Change in Debt/Total Capital Quarter over Quarter,-0.0008
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
ford,rating-box
newConstructs,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-08-20 00:00:00
ford since,2021-11-05 00:00:00
newConstructs since,2022-11-25 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,2022-05-06 00:00:00
