,ACIW,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",15.17,54.08,Valuation,0.2805103550295858
Price/Sales (TTM),1.63,9.39,Valuation,0.17358892438764642
Price/Book (MRQ),1.97,12.63,Valuation,0.15597783056215359
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.5272,0.7206,Profitability,0.7316125451013045
Operating Profit Margin (TTM),0.152,0.2172,Profitability,0.6998158379373849
Net Profit Margin (TTM),0.11230000000000001,0.1553,Profitability,0.7231165486155828
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),0.7456,-0.0752,Gowth rates,-9.914893617021276
EPS Growth (TTM),0.9229,-0.2824,Gowth rates,-3.2680594900849864
Revenue Growth (MRQ),-0.0994,0.15560000000000002,Gowth rates,-0.6388174807197943
Revenue Growth (TTM),0.11320000000000001,0.1906,Gowth rates,0.5939139559286465
Return On Equity (TTM),0.1349,0.2189,Effectiveness,0.6162631338510735
Return On Assets (TTM),0.0501,0.10740000000000001,Effectiveness,0.4664804469273742
Return On Investment (TTM),0.0695,0.1387,Effectiveness,0.5010814708002884
Revenue Per Employee (TTM),398040.0,667721.0,Effectiveness,0.5961172405840164
Total Debt/Total Capital (MRQ),0.457,0.39659999999999995,Financial strength,1.152294503277862
Change in Debt/Total Capital Quarter over Quarter,-0.0008,0.0004,Financial strength,-2.0
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),,0.28,Financial strength,
