,SPNE
% Above Low,0.2947
% Held by Institutions,0.7048000000000001
52-Wk Range,['5.48 - 14.37']
Annual Dividend $,
Annual Dividend %,
Ask,7.08
Ask Size,2800.0
B/A Ratio,0.10714285714285714
B/A Size,300x2800
Beta,1.4
Bid,7.05
Bid Size,300.0
Day Change $,-0.055
Day Change %,-0.0077
Day High,7.19
Day Low,6.98
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.76
Ex-dividend Date,No dividend
Historical Volatility,0.506
Last (size),1.0
Last (time),2:52p ET 11/28/22
Market Cap,264.0M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.15
Price,7.1
Short Interest,0.011699999999999999
Today's Open,7.09
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2023-03-10 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.164319248826291
Growth 1yr High Est,-0.26470588235294124
Growth 1yr Consensus Est,-0.21451256558961612
Growth 2yr Low Est,-0.13272142216595445
Growth 2yr High Est,-0.35568627450980395
Growth 2yr Consensus Est,-0.2442038483378792
Growth 5yr Low Est,-0.06636071108297723
Growth 5yr High Est,-0.17784313725490197
Growth 5yr Consensus Est,-0.1221019241689396
Growth 5yr Actual/Est,-0.10263674941006085
Growth 3yr Historic,-0.05325403336067813
Price/Earnings (TTM),
Price/Sales (TTM),1.17499
Price/Book (MRQ),0.96903
Price/Cash Flow (TTM),
5yr Low,4.02
5yr High,22.97
5yr Avg Return,0.03573333333333335
EPS Growth 5yr,
Revenue Growth 5yr,0.08240030000000001
Dividend Growth 5yr,
Short Int Current Month,396437.0
Short Int Prev Month,392411.0
Short Int Pct of Float,0.0117109
Days to Cover,1.4713
Float,33.9854
Shares Outstanding,37.75516
Institutions Holding Shares,145.0
FCF Growth 5yr,0.1697385209199358
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6016
Operating Profit Margin (TTM),-0.2834
Net Profit Margin (TTM),-0.2822
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.10310000000000001
EPS Growth (TTM),-0.2005
Revenue Growth (MRQ),0.1923
Revenue Growth (TTM),0.26030000000000003
Return On Equity (TTM),-0.2157
Return On Assets (TTM),-0.1697
Return On Investment (TTM),-0.1961
Revenue Per Employee (TTM),439287.0
Total Debt/Total Capital (MRQ),0.086
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.65
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
newConstructs,rating-box
marketEdge opinion,
researchTeam since,2021-09-24 00:00:00
theStreet since,2021-12-08 00:00:00
ford since,2022-04-29 00:00:00
cfra since,
newConstructs since,
marketEdge opinion since,
