,SPNE,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,61.36,Valuation,
Price/Sales (TTM),1.17,9.8,Valuation,0.1193877551020408
Price/Book (MRQ),0.97,10.31,Valuation,0.09408341416100872
"PEG Ratio (TTM, GAAP)",,3.02,Valuation,
Gross Profit Margin (TTM),0.6016,0.6196,Profitability,0.9709489993544221
Operating Profit Margin (TTM),-0.2834,0.047,Profitability,-6.029787234042553
Net Profit Margin (TTM),-0.2822,0.009300000000000001,Profitability,-30.344086021505372
Annual Dividend Yield,,0.0095,Dividend,
Dividend Change %,,0.0679,Dividend,
"Dividend Growth Rate, 3 Years",,0.0524,Dividend,
EPS Growth (MRQ),-0.10310000000000001,-0.4858,Gowth rates,0.21222725401399756
EPS Growth (TTM),-0.2005,-0.2029,Gowth rates,0.9881715130606211
Revenue Growth (MRQ),0.1923,0.1161,Gowth rates,1.6563307493540051
Revenue Growth (TTM),0.26030000000000003,0.18300000000000002,Gowth rates,1.4224043715846995
Return On Equity (TTM),-0.2157,0.1068,Effectiveness,-2.0196629213483144
Return On Assets (TTM),-0.1697,0.0622,Effectiveness,-2.728295819935691
Return On Investment (TTM),-0.1961,0.0732,Effectiveness,-2.6789617486338795
Revenue Per Employee (TTM),439287.0,403586.0,Effectiveness,1.088459460932738
Total Debt/Total Capital (MRQ),0.086,0.3161,Financial strength,0.2720658019614046
Change in Debt/Total Capital Quarter over Quarter,,0.0125,Financial strength,
Quick Ratio (MRQ),1.65,2.25,Financial strength,0.7333333333333333
Interest Coverage (MRQ),,14.99,Financial strength,
