,VSH
% Below High,0.0431
% Held by Institutions,0.9568000000000001
52-Wk Range,['16.73 - 22.98']
Annual Dividend $,0.4
Annual Dividend %,0.0178
Ask,23.91
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,18.0
Bid Size,100.0
Closing Price,21.99
Day Change $,-0.46
Day Change %,-0.020499999999999997
Day High,22.42
Day Low,21.85
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",2.72
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.33799999999999997
Last (size),424.0
Last (time),7:00p ET 11/28/22
Market Cap,3.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.26
Prev Close,22.45
Short Interest,0.050499999999999996
Today's Open,22.27
Volume,712038.0
Volume 10-day Avg,810650.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.11255411255411252
Growth 1yr High Est,0.3931623931623931
Growth 1yr Consensus Est,0.2528582528582528
Growth 2yr Low Est,-0.05072683477352735
Growth 2yr High Est,0.18737874259346654
Growth 2yr Consensus Est,0.0683259539099696
Growth 5yr Low Est,0.3209449584876927
Growth 5yr High Est,0.3841111979221203
Growth 5yr Consensus Est,0.3525280782049065
Growth 5yr Actual/Est,0.3651455761362925
Growth 3yr Historic,0.3129744651483781
Price/Earnings (TTM),8.26239
Price/Sales (TTM),0.91254
Price/Book (MRQ),1.67671
Price/Cash Flow (TTM),5.70619
5yr Low,11.23
5yr High,26.5
5yr Avg Return,-0.004266666666666666
EPS Growth 5yr,0.44593130000000003
Revenue Growth 5yr,0.0687992
Dividend Growth 5yr,0.0901949
Short Int Current Month,6500669.0
Short Int Prev Month,7321351.0
Short Int Pct of Float,0.0504576
Days to Cover,6.14555
Float,140.7826
Shares Outstanding,141.6649
Institutions Holding Shares,383.0
FCF Growth 5yr,1.0364412116338093
"Price/Earnings (TTM, GAAP)",8.26
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.3003
Operating Profit Margin (TTM),0.1727
Net Profit Margin (TTM),0.1131
Annual Dividend Yield,0.0178
Dividend Change %,0.013200000000000002
"Dividend Growth Rate, 3 Years",0.0608
EPS Growth (MRQ),0.2545
EPS Growth (TTM),0.3215
Revenue Growth (MRQ),0.071
Revenue Growth (TTM),0.13720000000000002
Return On Equity (TTM),0.21670000000000003
Return On Assets (TTM),0.1119
Return On Investment (TTM),0.1389
Revenue Per Employee (TTM),152859.0
Total Debt/Total Capital (MRQ),0.1943
Change in Debt/Total Capital Quarter over Quarter,-0.0005
Quick Ratio (MRQ),2.08
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-10-14 00:00:00
theStreet since,2020-11-11 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-18 00:00:00
cfra since,
marketEdge opinion since,
