,PFSI
% Below High,0.1981
% Held by Institutions,0.578
52-Wk Range,['38.53 - 71.52']
Annual Dividend $,0.8
Annual Dividend %,0.0138
Ask,57.57
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.4
Bid,57.35
Bid Size,100.0
Day Change $,-0.44
Day Change %,-0.0076
Day High,57.77
Day Low,57.26
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",10.47
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.408
Last (size),100.0
Last (time),10:38a ET 11/28/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.52
Prev Close,57.79
Price,57.35
Short Interest,0.0987
Today's Open,57.26
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.4277148567621586
Growth 1yr High Est,-0.4276649746192893
Growth 1yr Consensus Est,-0.42768991569072395
Growth 2yr Low Est,-0.3617037613263645
Growth 2yr High Est,-0.25984135648924556
Growth 2yr Consensus Est,-0.31077255890780503
Growth 5yr Low Est,0.637398879088121
Growth 5yr High Est,0.5597243963357568
Growth 5yr Consensus Est,0.5985616377119388
Growth 5yr Actual/Est,0.5944409641326583
Growth 3yr Historic,0.747230417170094
Price/Earnings (TTM),5.51825
Price/Sales (TTM),1.0879
Price/Book (MRQ),0.8466
Price/Cash Flow (TTM),4.51023
5yr Low,13.14
5yr High,71.52
5yr Avg Return,0.2475166666666667
EPS Growth 5yr,0.7674433
Revenue Growth 5yr,0.2117071
Dividend Growth 5yr,
Short Int Current Month,2804276.0
Short Int Prev Month,3617998.0
Short Int Pct of Float,0.0987323
Days to Cover,6.45461
Float,29.02286
Shares Outstanding,50.08141
Institutions Holding Shares,238.0
FCF Growth 5yr,0.34641219929965844
"Price/Earnings (TTM, GAAP)",5.52
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.8792
Operating Profit Margin (TTM),0.31260000000000004
Net Profit Margin (TTM),0.2297
Annual Dividend Yield,0.0138
Dividend Change %,0.4815
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.0781
EPS Growth (TTM),-0.4132
Revenue Growth (MRQ),-0.0401
Revenue Growth (TTM),-0.3196
Return On Equity (TTM),0.1749
Return On Assets (TTM),0.0338
Return On Investment (TTM),0.0555
Revenue Per Employee (TTM),369085.0
Total Debt/Total Capital (MRQ),0.6808
Change in Debt/Total Capital Quarter over Quarter,-0.0015
Quick Ratio (MRQ),
Interest Coverage (MRQ),
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-14 00:00:00
theStreet since,2019-08-15 00:00:00
ford since,2022-10-14 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
