,AMSF,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",29.06,19.05,Valuation,1.5254593175853017
Price/Sales (TTM),3.76,2.31,Valuation,1.6277056277056277
Price/Book (MRQ),2.96,3.65,Valuation,0.810958904109589
"PEG Ratio (TTM, GAAP)",,6.78,Valuation,
Gross Profit Margin (TTM),,0.0207,Profitability,
Operating Profit Margin (TTM),0.1497,0.1342,Profitability,1.115499254843517
Net Profit Margin (TTM),0.1308,0.1081,Profitability,1.2099907493061979
Annual Dividend Yield,0.0215,0.0167,Dividend,1.2874251497005986
Dividend Change %,0.0741,-0.004,Dividend,-18.525
"Dividend Growth Rate, 3 Years",0.0965,0.0233,Dividend,4.141630901287553
EPS Growth (MRQ),0.8588,-0.11750000000000001,Gowth rates,-7.308936170212766
EPS Growth (TTM),-0.5763,-0.0281,Gowth rates,20.508896797153024
Revenue Growth (MRQ),0.0492,0.0922,Gowth rates,0.5336225596529284
Revenue Growth (TTM),-0.0994,0.0431,Gowth rates,-2.306264501160093
Return On Equity (TTM),0.08990000000000001,0.35479999999999995,Effectiveness,0.2533821871476889
Return On Assets (TTM),0.027000000000000003,0.031200000000000002,Effectiveness,0.8653846153846154
Return On Investment (TTM),,0.032,Effectiveness,
Revenue Per Employee (TTM),790720.0,1270541.0,Effectiveness,0.6223490623285671
Total Debt/Total Capital (MRQ),0.0,0.38939999999999997,Financial strength,0.0
Change in Debt/Total Capital Quarter over Quarter,,0.0019,Financial strength,
Quick Ratio (MRQ),,,Financial strength,
Interest Coverage (MRQ),,10.36,Financial strength,
