,G
% Above Low,0.18600000000000003
% Held by Institutions,1.0039
52-Wk Range,['37.68 - 54.03']
Annual Dividend $,0.5
Annual Dividend %,0.011200000000000002
Ask,45.09
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.3
Bid,38.5
Bid Size,1000.0
Closing Price,44.69
Day Change $,0.32
Day Change %,0.0072
Day High,44.83
Day Low,44.24
Dividend Pay Date,2022-12-23 00:00:00
"EPS (TTM, GAAP)",1.76
Ex-dividend,2022-12-08 00:00:00
Ex-dividend Date,12/08/22
Historical Volatility,0.273
Last (size),991.0
Last (time),5:00p ET 11/25/22
Market Cap,8.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",25.34
Prev Close,44.37
Short Interest,0.011399999999999999
Today's Open,44.24
Volume,233367.0
Volume 10-day Avg,899945.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.12863070539419086
Growth 1yr High Est,0.12550607287449367
Growth 1yr Consensus Est,0.12706838913434226
Growth 2yr Low Est,0.10291829387356599
Growth 2yr High Est,0.1203069932717793
Growth 2yr Consensus Est,0.11161264357267264
Growth 5yr Low Est,0.09840002523513919
Growth 5yr High Est,0.11084319111833385
Growth 5yr Consensus Est,0.10462160817673652
Growth 5yr Actual/Est,0.10074838300217964
Growth 3yr Historic,0.04745167970547637
Price/Earnings (TTM),25.34366
Price/Sales (TTM),1.88666
Price/Book (MRQ),4.72249
Price/Cash Flow (TTM),17.73626
5yr Low,19.41
5yr High,54.03
5yr Avg Return,0.08538333333333332
EPS Growth 5yr,0.0832817
Revenue Growth 5yr,0.0936561
Dividend Growth 5yr,
Short Int Current Month,1925378.0
Short Int Prev Month,1456935.0
Short Int Pct of Float,0.011397
Days to Cover,1.43675
Float,169.0472
Shares Outstanding,183.2581
Institutions Holding Shares,480.0
FCF Growth 5yr,-2.3964327387672335
"Price/Earnings (TTM, GAAP)",25.34
"PEG Ratio (TTM, GAAP)",2.27
Gross Profit Margin (TTM),0.3503
Operating Profit Margin (TTM),0.11199999999999999
Net Profit Margin (TTM),0.0776
Annual Dividend Yield,0.011200000000000002
Dividend Change %,0.1026
"Dividend Growth Rate, 3 Years",0.1275
EPS Growth (MRQ),0.3006
EPS Growth (TTM),-0.08230000000000001
Revenue Growth (MRQ),0.0201
Revenue Growth (TTM),0.1129
Return On Equity (TTM),0.18280000000000002
Return On Assets (TTM),0.0703
Return On Investment (TTM),0.1014
Revenue Per Employee (TTM),39607.0
Total Debt/Total Capital (MRQ),0.46530000000000005
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),
Interest Coverage (MRQ),15.97
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2020-05-11 00:00:00
researchTeam since,2022-11-11 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2020-05-29 00:00:00
ford since,2022-11-18 00:00:00
marketEdge opinion since,
