,G,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",25.34,53.12,Valuation,0.47703313253012053
Price/Sales (TTM),1.89,19.35,Valuation,0.09767441860465115
Price/Book (MRQ),4.72,19.03,Valuation,0.24802942722017865
"PEG Ratio (TTM, GAAP)",2.27,3.41,Valuation,0.6656891495601173
Gross Profit Margin (TTM),0.3503,0.44520000000000004,Profitability,0.786837376460018
Operating Profit Margin (TTM),0.11199999999999999,0.3027,Profitability,0.3700033036009249
Net Profit Margin (TTM),0.0776,0.23600000000000002,Profitability,0.3288135593220339
Annual Dividend Yield,0.011200000000000002,0.010400000000000001,Dividend,1.0769230769230769
Dividend Change %,0.1026,0.0818,Dividend,1.254278728606357
"Dividend Growth Rate, 3 Years",0.1275,0.1223,Dividend,1.0425183973834833
EPS Growth (MRQ),0.3006,-3.5570999999999997,Gowth rates,-0.08450704225352113
EPS Growth (TTM),-0.08230000000000001,0.15560000000000002,Gowth rates,-0.5289203084832905
Revenue Growth (MRQ),0.0201,0.16460000000000002,Gowth rates,0.12211421628189549
Revenue Growth (TTM),0.1129,0.2273,Gowth rates,0.4967003959524857
Return On Equity (TTM),0.18280000000000002,0.5459,Effectiveness,0.33485986444403737
Return On Assets (TTM),0.0703,0.1131,Effectiveness,0.6215738284703801
Return On Investment (TTM),0.1014,0.189,Effectiveness,0.5365079365079365
Revenue Per Employee (TTM),39607.0,686063.0,Effectiveness,0.05773084979076266
Total Debt/Total Capital (MRQ),0.46530000000000005,0.5613,Financial strength,0.82896846606093
Change in Debt/Total Capital Quarter over Quarter,-0.0002,0.0048,Financial strength,-0.04166666666666667
Quick Ratio (MRQ),,0.16,Financial strength,
Interest Coverage (MRQ),15.97,27.21,Financial strength,0.5869165747886806
