,IPAR
% Below High,0.15410000000000001
% Held by Institutions,0.6046
52-Wk Range,['64.52 - 108.35']
Annual Dividend $,2.0
Annual Dividend %,0.0218
Ask,146.78
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,36.7
Bid Size,200.0
Closing Price,91.66
Day Change $,0.72
Day Change %,0.0079
Day High,92.18
Day Low,90.65
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",3.22
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.365
Last (size),9.0
Last (time),1:00p ET 11/25/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.43
Prev Close,90.94
Short Interest,0.0175
Today's Open,90.69
Volume,43248.0
Volume 10-day Avg,109579.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.7989417989417991
Growth 1yr High Est,0.7894736842105263
Growth 1yr Consensus Est,0.7942077415761627
Growth 2yr Low Est,0.4435885465297231
Growth 2yr High Est,0.4432662538699691
Growth 2yr Consensus Est,0.4434274001998461
Growth 5yr Low Est,0.22179427326486156
Growth 5yr High Est,0.22163312693498455
Growth 5yr Consensus Est,0.22171370009992306
Growth 5yr Actual/Est,0.3161950665433638
Growth 3yr Historic,0.2343100398053959
Price/Earnings (TTM),28.42788
Price/Sales (TTM),2.96145
Price/Book (MRQ),5.08394
Price/Cash Flow (TTM),20.48791
5yr Low,34.2
5yr High,108.35
5yr Avg Return,0.17573333333333335
EPS Growth 5yr,0.2076034
Revenue Growth 5yr,0.11037380000000001
Dividend Growth 5yr,0.10032669999999999
Short Int Current Month,313622.0
Short Int Prev Month,333259.0
Short Int Pct of Float,0.0174823
Days to Cover,2.75607
Float,17.9394
Shares Outstanding,31.87562
Institutions Holding Shares,291.0
FCF Growth 5yr,0.3180295694535333
"Price/Earnings (TTM, GAAP)",28.43
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.5553
Operating Profit Margin (TTM),0.161
Net Profit Margin (TTM),0.1304
Annual Dividend Yield,0.021800000000000003
Dividend Change %,
"Dividend Growth Rate, 3 Years",0.0338
EPS Growth (MRQ),0.4991
EPS Growth (TTM),-0.0089
Revenue Growth (MRQ),0.146
Revenue Growth (TTM),0.1568
Return On Equity (TTM),0.1777
Return On Assets (TTM),0.115
Return On Investment (TTM),0.1778
Revenue Per Employee (TTM),2112600.0
Total Debt/Total Capital (MRQ),0.1417
Change in Debt/Total Capital Quarter over Quarter,-0.0014000000000000002
Quick Ratio (MRQ),1.71
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
theStreet since,2022-08-16 00:00:00
researchTeam since,2022-08-20 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2021-08-13 00:00:00
cfra since,
marketEdge opinion since,
