,IPGP,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",17.88,21.62,Valuation,0.8270120259019426
Price/Sales (TTM),3.04,5.43,Valuation,0.5598526703499079
Price/Book (MRQ),1.75,5.49,Valuation,0.31876138433515483
"PEG Ratio (TTM, GAAP)",8.52,14.73,Valuation,0.5784114052953157
Gross Profit Margin (TTM),0.4523,0.33659999999999995,Profitability,1.3437314319667262
Operating Profit Margin (TTM),0.2347,-0.0824,Profitability,-2.8483009708737863
Net Profit Margin (TTM),0.1841,-0.1173,Profitability,-1.5694799658994034
Annual Dividend Yield,,0.0088,Dividend,
Dividend Change %,,0.0488,Dividend,
"Dividend Growth Rate, 3 Years",,0.046,Dividend,
EPS Growth (MRQ),0.34020000000000006,0.1058,Gowth rates,3.2155009451795844
EPS Growth (TTM),0.0487,-0.0147,Gowth rates,-3.312925170068027
Revenue Growth (MRQ),-0.0743,0.1655,Gowth rates,-0.4489425981873112
Revenue Growth (TTM),0.0192,0.1855,Gowth rates,0.10350404312668463
Return On Equity (TTM),0.10070000000000001,0.23850000000000002,Effectiveness,0.4222222222222222
Return On Assets (TTM),0.08810000000000001,0.0752,Effectiveness,1.1715425531914894
Return On Investment (TTM),0.0975,0.1041,Effectiveness,0.9365994236311239
Revenue Per Employee (TTM),221957.0,449465.0,Effectiveness,0.4938248806914888
Total Debt/Total Capital (MRQ),0.0063,0.3575,Financial strength,0.017622377622377623
Change in Debt/Total Capital Quarter over Quarter,-0.0051,0.0362,Financial strength,-0.1408839779005525
Quick Ratio (MRQ),5.29,1.53,Financial strength,3.457516339869281
Interest Coverage (MRQ),,15.46,Financial strength,
