,IPGP
% Above Low,0.1417
% Held by Institutions,0.6441
52-Wk Range,['79.88 - 176.63']
Annual Dividend $,
Annual Dividend %,
Ask,91.69
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,90.69
Bid Size,100.0
Closing Price,91.19
Day Change $,-1.2
Day Change %,-0.013000000000000001
Day High,92.89
Day Low,91.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.1
Ex-dividend Date,No dividend
Historical Volatility,0.439
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,4.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.88
Prev Close,92.39
Short Interest,0.0475
Today's Open,92.25
Volume,65533.0
Volume 10-day Avg,211039.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.11252653927813172
Growth 1yr High Est,-0.07047619047619047
Growth 1yr Consensus Est,-0.0915013648771611
Growth 2yr Low Est,-0.035928341409400766
Growth 2yr High Est,0.01189305230288834
Growth 2yr Consensus Est,-0.012017644553256213
Growth 5yr Low Est,0.16956007664429215
Growth 5yr High Est,0.20651026181894683
Growth 5yr Consensus Est,0.18803516923161948
Growth 5yr Actual/Est,0.14043730431703358
Growth 3yr Historic,0.15598522538821044
Price/Earnings (TTM),17.88271
Price/Sales (TTM),3.04166
Price/Book (MRQ),1.74547
Price/Cash Flow (TTM),12.23831
5yr Low,79.88
5yr High,264.11
5yr Avg Return,-0.07501666666666668
EPS Growth 5yr,0.0125587
Revenue Growth 5yr,0.0774253
Dividend Growth 5yr,
Short Int Current Month,1442923.0
Short Int Prev Month,1382366.0
Short Int Pct of Float,0.047536800000000004
Days to Cover,4.54279
Float,30.3644
Shares Outstanding,48.71436
Institutions Holding Shares,447.0
FCF Growth 5yr,-1.535958232997012
"Price/Earnings (TTM, GAAP)",17.88
"PEG Ratio (TTM, GAAP)",8.52
Gross Profit Margin (TTM),0.4523
Operating Profit Margin (TTM),0.2347
Net Profit Margin (TTM),0.1841
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.34020000000000006
EPS Growth (TTM),0.0487
Revenue Growth (MRQ),-0.0743
Revenue Growth (TTM),0.0192
Return On Equity (TTM),0.10070000000000001
Return On Assets (TTM),0.08810000000000001
Return On Investment (TTM),0.0975
Revenue Per Employee (TTM),221957.0
Total Debt/Total Capital (MRQ),0.0063
Change in Debt/Total Capital Quarter over Quarter,-0.0051
Quick Ratio (MRQ),5.29
Interest Coverage (MRQ),
theStreet,rating-box
researchTeam,rating-box
newConstructs,rating-box
cfra,
ford,rating-box
marketEdge opinion,
theStreet since,2022-02-16 00:00:00
researchTeam since,2021-08-06 00:00:00
newConstructs since,2022-11-26 00:00:00
cfra since,2022-08-02 00:00:00
ford since,2021-12-10 00:00:00
marketEdge opinion since,
