,AR
% Below High,0.23629999999999998
% Held by Institutions,0.7695000000000001
52-Wk Range,['15.38 - 48.80']
Annual Dividend $,
Annual Dividend %,
Ask,38.88
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,3.6
Bid,36.75
Bid Size,300.0
Closing Price,37.27
Day Change $,-0.27
Day Change %,-0.0072
Day High,37.99
Day Low,37.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.38
Ex-dividend Date,No dividend
Historical Volatility,0.614
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,11.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.84
Prev Close,37.54
Short Interest,0.07730000000000001
Today's Open,37.5
Volume,1723638.0
Volume 10-day Avg,5717715.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.010968921389396868
Growth 2yr High Est,0.42556390977443614
Growth 2yr Consensus Est,0.2182664155819165
Growth 5yr Low Est,0.010968921389396868
Growth 5yr High Est,0.42556390977443614
Growth 5yr Consensus Est,0.2182664155819165
Growth 5yr Actual/Est,1.2681788931788935
Growth 3yr Historic,0.412698412698413
Price/Earnings (TTM),5.84457
Price/Sales (TTM),1.50201
Price/Book (MRQ),1.81884
Price/Cash Flow (TTM),3.88527
5yr Low,0.638
5yr High,48.8
5yr Avg Return,0.5023500000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.22909310000000002
Dividend Growth 5yr,
Short Int Current Month,20390714.0
Short Int Prev Month,21872180.0
Short Int Pct of Float,0.0772731
Days to Cover,3.36491
Float,263.9867
Shares Outstanding,300.1364
Institutions Holding Shares,520.0
FCF Growth 5yr,0.6980503844314638
"Price/Earnings (TTM, GAAP)",5.84
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7988
Operating Profit Margin (TTM),0.38020000000000004
Net Profit Margin (TTM),0.294
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.24920000000000003
EPS Growth (TTM),2.9663
Revenue Growth (MRQ),-0.06230000000000001
Revenue Growth (TTM),1.1072
Return On Equity (TTM),0.37420000000000003
Return On Assets (TTM),0.15710000000000002
Return On Investment (TTM),0.1991
Revenue Per Employee (TTM),14349560.0
Total Debt/Total Capital (MRQ),0.1536
Change in Debt/Total Capital Quarter over Quarter,-0.0053
Quick Ratio (MRQ),
Interest Coverage (MRQ),61.88
researchTeam,rating-box
cfra,
ford,rating-box
newConstructs,rating-box
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2022-10-07 00:00:00
cfra since,2021-01-19 00:00:00
ford since,2022-10-07 00:00:00
newConstructs since,2022-11-25 00:00:00
marketEdge opinion since,
marketEdge since,2022-07-28 00:00:00
