,SR
% Below High,0.0698
% Held by Institutions,0.8637
52-Wk Range,['59.60 - 79.24']
Annual Dividend $,2.88
Annual Dividend %,0.038599999999999995
Ask,73.75
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.4
Bid,73.66
Bid Size,100.0
Day Change $,-0.96
Day Change %,-0.0129
Day High,74.12
Day Low,72.75
Dividend Pay Date,2023-01-04 00:00:00
"EPS (TTM, GAAP)",3.97
Ex-dividend,2022-12-09 00:00:00
Ex-dividend Date,12/09/22
Historical Volatility,0.244
Last (size),100.0
Last (time),3:11p ET 11/28/22
Market Cap,3.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.81
Prev Close,74.67
Price,73.71
Short Interest,0.038599999999999995
Today's Open,74.12
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.09635416666666674
Growth 1yr High Est,0.09948979591836737
Growth 1yr Consensus Est,0.09792198129251706
Growth 2yr Low Est,0.07668064627870153
Growth 2yr High Est,0.07990731095222325
Growth 2yr Consensus Est,0.07829397861546239
Growth 5yr Low Est,0.04710043095606237
Growth 5yr High Est,0.04990060507823363
Growth 5yr Consensus Est,0.048500518017148
Growth 5yr Actual/Est,0.06225115365880521
Growth 3yr Historic,0.02169796865423343
Price/Earnings (TTM),18.81131
Price/Sales (TTM),1.78311
Price/Book (MRQ),1.52151
Price/Cash Flow (TTM),8.84314
5yr Low,50.58
5yr High,88.0
5yr Avg Return,-0.006616666666666667
EPS Growth 5yr,0.0285385
Revenue Growth 5yr,0.047805099999999996
Dividend Growth 5yr,
Short Int Current Month,1967533.0
Short Int Prev Month,2106567.0
Short Int Pct of Float,0.038641
Days to Cover,6.89878
Float,50.94579
Shares Outstanding,52.49984
Institutions Holding Shares,363.0
FCF Growth 5yr,0.48942438570098146
"Price/Earnings (TTM, GAAP)",18.81
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.1857
Net Profit Margin (TTM),0.10039999999999999
Annual Dividend Yield,0.0386
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-1.1136
EPS Growth (TTM),-0.2004
Revenue Growth (MRQ),-0.2987
Revenue Growth (TTM),-0.0166
Return On Equity (TTM),0.0824
Return On Assets (TTM),0.0227
Return On Investment (TTM),0.0286
Revenue Per Employee (TTM),613421.0
Total Debt/Total Capital (MRQ),0.6017
Change in Debt/Total Capital Quarter over Quarter,0.0008
Quick Ratio (MRQ),0.5
Interest Coverage (MRQ),0.87
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2020-05-15 00:00:00
theStreet since,2022-09-27 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-10-28 00:00:00
cfra since,
marketEdge opinion since,
