,ZUO
% Above Low,0.2225
% Held by Institutions,0.7442
52-Wk Range,['6.14 - 20.43']
Annual Dividend $,
Annual Dividend %,
Ask,8.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,1.8
Bid,4.0
Bid Size,200.0
Closing Price,7.5
Day Change $,-0.08
Day Change %,-0.0106
Day High,7.61
Day Low,7.47
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.87
Ex-dividend Date,No dividend
Historical Volatility,0.579
Last (size),2.0
Last (time),7:00p ET 11/28/22
Market Cap,989.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,7.58
Short Interest,0.0276
Today's Open,7.48
Volume,501129.0
Volume 10-day Avg,703230.0
Volume Past Day,(Light)
Next Earnings Announcement,2022-12-06 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.5
Growth 1yr High Est,-0.588235294117647
Growth 1yr Consensus Est,-0.5441176470588235
Growth 2yr Low Est,-0.5833333333333334
Growth 2yr High Est,-1.0084033613445378
Growth 2yr Consensus Est,-0.7958683473389356
Growth 5yr Low Est,-0.2916666666666667
Growth 5yr High Est,-0.5042016806722689
Growth 5yr Consensus Est,-0.3979341736694677
Growth 5yr Actual/Est,-0.23937908496732024
Growth 3yr Historic,-0.18382352941176472
Price/Earnings (TTM),
Price/Sales (TTM),2.68839
Price/Book (MRQ),5.19149
Price/Cash Flow (TTM),
5yr Low,6.14
5yr High,37.78
5yr Avg Return,-0.11291999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.251349
Dividend Growth 5yr,
Short Int Current Month,3387367.0
Short Int Prev Month,3609137.0
Short Int Pct of Float,0.027612199999999996
Days to Cover,3.18442
Float,122.6916
Shares Outstanding,131.9
Institutions Holding Shares,262.0
FCF Growth 5yr,1.8735903838048913
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.6067
Operating Profit Margin (TTM),-0.2947
Net Profit Margin (TTM),-0.2989
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.2729
EPS Growth (TTM),-0.3667
Revenue Growth (MRQ),0.059800000000000006
Revenue Growth (TTM),0.1501
Return On Equity (TTM),-0.6008
Return On Assets (TTM),-0.20690000000000003
Return On Investment (TTM),-0.32670000000000005
Revenue Per Employee (TTM),266975.0
Total Debt/Total Capital (MRQ),0.5172
Change in Debt/Total Capital Quarter over Quarter,0.32280000000000003
Quick Ratio (MRQ),
Interest Coverage (MRQ),-6.88
researchTeam,rating-box
theStreet,rating-box
ford,rating-box
cfra,
marketEdge opinion,
marketEdge,rating-box
researchTeam since,2019-05-31 00:00:00
theStreet since,2019-05-31 00:00:00
ford since,2021-08-06 00:00:00
cfra since,
marketEdge opinion since,
marketEdge since,
