,ZUO,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",,54.08,Valuation,
Price/Sales (TTM),2.66,9.39,Valuation,0.2832800851970181
Price/Book (MRQ),5.14,12.63,Valuation,0.4069675376088677
"PEG Ratio (TTM, GAAP)",,1.92,Valuation,
Gross Profit Margin (TTM),0.6067,0.7206,Profitability,0.8419372744934777
Operating Profit Margin (TTM),-0.2947,0.2172,Profitability,-1.3568139963167587
Net Profit Margin (TTM),-0.2989,0.1553,Profitability,-1.9246619446233098
Annual Dividend Yield,,0.006999999999999999,Dividend,
Dividend Change %,,0.07940000000000001,Dividend,
"Dividend Growth Rate, 3 Years",,0.0703,Dividend,
EPS Growth (MRQ),-0.2729,-0.0752,Gowth rates,3.628989361702127
EPS Growth (TTM),-0.3667,-0.2824,Gowth rates,1.2985127478753542
Revenue Growth (MRQ),0.059800000000000006,0.15560000000000002,Gowth rates,0.38431876606683807
Revenue Growth (TTM),0.1501,0.1906,Gowth rates,0.7875131164742918
Return On Equity (TTM),-0.6008,0.2189,Effectiveness,-2.7446322521699407
Return On Assets (TTM),-0.20690000000000003,0.10740000000000001,Effectiveness,-1.926443202979516
Return On Investment (TTM),-0.32670000000000005,0.1387,Effectiveness,-2.3554434030281186
Revenue Per Employee (TTM),266975.0,667721.0,Effectiveness,0.3998301685883775
Total Debt/Total Capital (MRQ),0.5172,0.39659999999999995,Financial strength,1.3040847201210288
Change in Debt/Total Capital Quarter over Quarter,0.32280000000000003,0.0004,Financial strength,807.0
Quick Ratio (MRQ),,1.0,Financial strength,
Interest Coverage (MRQ),-6.88,0.28,Financial strength,-24.57142857142857
