,KMT
% Above Low,0.3261
% Held by Institutions,1.0518
52-Wk Range,['20.21 - 38.36']
Annual Dividend $,0.8
Annual Dividend %,0.029900000000000003
Ask,35.0
Ask Size,700.0
B/A Ratio,0.42857142857142855
B/A Size,300x700
Beta,1.9
Bid,25.5
Bid Size,300.0
Closing Price,26.8
Day Change $,0.17
Day Change %,0.0064
Day High,26.85
Day Low,26.57
Dividend Pay Date,2022-11-22 00:00:00
"EPS (TTM, GAAP)",1.64
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.40700000000000003
Last (size),4700.0
Last (time),5:00p ET 11/25/22
Market Cap,2.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",16.35
Prev Close,26.63
Short Interest,0.0565
Today's Open,26.74
Volume,175837.0
Volume 10-day Avg,664887.0
Volume Past Day,(Light)
Next Earnings Announcement,2023-02-06 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.17365269461077848
Growth 1yr High Est,-0.02857142857142858
Growth 1yr Consensus Est,-0.10111206159110353
Growth 2yr Low Est,-0.03972489803002682
Growth 2yr High Est,0.04453781512605043
Growth 2yr Consensus Est,0.002406458548011803
Growth 5yr Low Est,0.2723453431927787
Growth 5yr High Est,0.20976890756302521
Growth 5yr Consensus Est,0.24105712537790197
Growth 5yr Actual/Est,0.20401847936265366
Growth 3yr Historic,0.20448036006546644
Price/Earnings (TTM),16.34734
Price/Sales (TTM),1.06706
Price/Book (MRQ),1.80733
Price/Cash Flow (TTM),7.88114
5yr Low,14.45
5yr High,52.52
5yr Avg Return,-0.06965
EPS Growth 5yr,0.2326616
Revenue Growth 5yr,-0.0045014
Dividend Growth 5yr,0.0
Short Int Current Month,4515006.0
Short Int Prev Month,5327564.0
Short Int Pct of Float,0.0565457
Days to Cover,4.43921
Float,79.87885
Shares Outstanding,80.57639
Institutions Holding Shares,275.0
FCF Growth 5yr,0.24440340657270054
"Price/Earnings (TTM, GAAP)",16.35
"PEG Ratio (TTM, GAAP)",4.54
Gross Profit Margin (TTM),0.3221
Operating Profit Margin (TTM),0.1048
Net Profit Margin (TTM),0.0702
Annual Dividend Yield,0.029900000000000003
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.3174
EPS Growth (TTM),0.2354
Revenue Growth (MRQ),-0.0665
Revenue Growth (TTM),0.051500000000000004
Return On Equity (TTM),0.1082
Return On Assets (TTM),0.0555
Return On Investment (TTM),0.0683
Revenue Per Employee (TTM),231761.0
Total Debt/Total Capital (MRQ),0.3544
Change in Debt/Total Capital Quarter over Quarter,0.0019
Quick Ratio (MRQ),0.84
Interest Coverage (MRQ),7.34
researchTeam,rating-box
theStreet,rating-box
newConstructs,rating-box
ford,rating-box
cfra,
marketEdge opinion,
researchTeam since,2022-11-04 00:00:00
theStreet since,2022-02-28 00:00:00
newConstructs since,2022-11-26 00:00:00
ford since,2022-11-04 00:00:00
cfra since,
marketEdge opinion since,
